cod;nome;período;valor
23;CE;1989;203
53;DF;1989;177
32;ES;1989;361
52;GO;1989;426
21;MA;1989;166
51;MT;1989;199
11;RO;1989;260
14;RR;1989;1
50;MS;1989;175
12;AC;1989;45
31;MG;1989;384
15;PA;1989;328
25;PB;1989;201
41;PR;1989;457
26;PE;1989;1607
22;PI;1989;53
33;RJ;1989;2772
27;AL;1989;310
16;AP;1989;19
13;AM;1989;136
29;BA;1989;562
24;RN;1989;121
43;RS;1989;755
42;SC;1989;142
17;TO;1989;30
28;SE;1989;66
35;SP;1989;2668
12;AC;1990;29
33;RJ;1990;5236
24;RN;1990;108
43;RS;1990;917
41;PR;1990;488
26;PE;1990;1616
11;RO;1990;278
14;RR;1990;8
42;SC;1990;150
35;SP;1990;2784
28;SE;1990;69
17;TO;1990;21
22;PI;1990;32
25;PB;1990;206
15;PA;1990;424
31;MG;1990;444
50;MS;1990;146
51;MT;1990;164
21;MA;1990;180
52;GO;1990;349
32;ES;1990;382
53;DF;1990;259
23;CE;1990;219
29;BA;1990;486
13;AM;1990;184
16;AP;1990;14
27;AL;1990;261
24;RN;1991;103
27;AL;1991;234
12;AC;1991;56
13;AM;1991;222
16;AP;1991;17
41;PR;1991;510
25;PB;1991;158
15;PA;1991;448
31;MG;1991;472
50;MS;1991;191
51;MT;1991;201
21;MA;1991;182
52;GO;1991;396
32;ES;1991;440
53;DF;1991;291
23;CE;1991;227
29;BA;1991;245
17;TO;1991;43
28;SE;1991;168
35;SP;1991;2912
42;SC;1991;148
14;RR;1991;15
11;RO;1991;247
43;RS;1991;1031
26;PE;1991;1878
22;PI;1991;28
33;RJ;1991;3736
33;RJ;1992;3358
17;TO;1992;37
28;SE;1992;295
35;SP;1992;2794
42;SC;1992;141
14;RR;1992;47
11;RO;1992;215
43;RS;1992;934
12;AC;1992;46
27;AL;1992;267
16;AP;1992;35
13;AM;1992;157
29;BA;1992;401
23;CE;1992;187
53;DF;1992;255
32;ES;1992;349
52;GO;1992;361
21;MA;1992;192
51;MT;1992;144
50;MS;1992;206
31;MG;1992;435
15;PA;1992;436
25;PB;1992;194
41;PR;1992;507
26;PE;1992;1621
22;PI;1992;28
24;RN;1992;101
23;CE;1993;249
12;AC;1993;55
27;AL;1993;322
16;AP;1993;37
13;AM;1993;161
29;BA;1993;945
53;DF;1993;335
32;ES;1993;522
52;GO;1993;327
21;MA;1993;161
51;MT;1993;159
50;MS;1993;236
31;MG;1993;466
15;PA;1993;345
25;PB;1993;192
41;PR;1993;586
26;PE;1993;1774
22;PI;1993;26
33;RJ;1993;4062
24;RN;1993;137
43;RS;1993;637
11;RO;1993;256
14;RR;1993;39
