cod;nome;período;valor
41;PR;1989;255
35;SP;1989;1821
53;DF;1989;116
52;GO;1989;223
51;MT;1989;82
50;MS;1989;95
32;ES;1989;180
43;RS;1989;447
42;SC;1989;82
33;RJ;1989;1722
11;RO;1989;114
12;AC;1989;28
13;AM;1989;82
14;RR;1989;1
15;PA;1989;165
16;AP;1989;13
17;TO;1989;13
21;MA;1989;82
22;PI;1989;30
23;CE;1989;121
24;RN;1989;69
25;PB;1989;102
26;PE;1989;943
27;AL;1989;143
29;BA;1989;327
28;SE;1989;3946
31;MG;1989;223
51;MT;1990;66
31;MG;1990;240
28;SE;1990;5488
29;BA;1990;289
27;AL;1990;116
26;PE;1990;955
25;PB;1990;95
24;RN;1990;58
23;CE;1990;126
22;PI;1990;16
21;MA;1990;86
17;TO;1990;10
16;AP;1990;11
15;PA;1990;242
14;RR;1990;3
13;AM;1990;119
12;AC;1990;18
11;RO;1990;130
33;RJ;1990;3172
35;SP;1990;1861
41;PR;1990;279
42;SC;1990;77
43;RS;1990;551
50;MS;1990;72
52;GO;1990;180
53;DF;1990;159
32;ES;1990;215
27;AL;1991;99
11;RO;1991;108
12;AC;1991;38
13;AM;1991;141
14;RR;1991;9
15;PA;1991;232
16;AP;1991;9
17;TO;1991;17
21;MA;1991;118
22;PI;1991;15
23;CE;1991;139
24;RN;1991;65
25;PB;1991;79
26;PE;1991;1046
29;BA;1991;128
28;SE;1991;4677
31;MG;1991;269
32;ES;1991;229
33;RJ;1991;2207
35;SP;1991;1972
41;PR;1991;266
42;SC;1991;82
43;RS;1991;573
50;MS;1991;106
51;MT;1991;98
52;GO;1991;222
53;DF;1991;209
53;DF;1992;172
13;AM;1992;81
14;RR;1992;23
15;PA;1992;221
16;AP;1992;24
17;TO;1992;14
21;MA;1992;74
22;PI;1992;15
23;CE;1992;102
24;RN;1992;57
25;PB;1992;101
26;PE;1992;794
27;AL;1992;131
29;BA;1992;237
28;SE;1992;4164
31;MG;1992;231
32;ES;1992;196
33;RJ;1992;1896
35;SP;1992;1841
41;PR;1992;269
12;AC;1992;34
42;SC;1992;74
43;RS;1992;516
50;MS;1992;107
51;MT;1992;70
52;GO;1992;189
11;RO;1992;89
42;SC;1993;81
41;PR;1993;320
11;RO;1993;125
12;AC;1993;36
13;AM;1993;96
14;RR;1993;16
15;PA;1993;169
16;AP;1993;26
17;TO;1993;12
21;MA;1993;68
22;PI;1993;19
23;CE;1993;164
24;RN;1993;81
25;PB;1993;94
26;PE;1993;1090
27;AL;1993;147
29;BA;1993;618
28;SE;1993;5077
31;MG;1993;281
32;ES;1993;295
33;RJ;1993;2197
35;SP;1993;2304
53;DF;1993;234
52;GO;1993;188
51;MT;1993;81
50;MS;1993;113
43;RS;1993;369
21;MA;1994;65
53;DF;1994;250
52;GO;1994;227
51;MT;1994;56
50;MS;1994;138
43;RS;1994;426
42;SC;1994;71
41;PR;1994;356
35;SP;1994;2645
33;RJ;1994;2779
32;ES;1994;300
31;MG;1994;256
28;SE;1994;5980
29;BA;1994;716
27;AL;1994;166
26;PE;1994;1068
25;PB;1994;98
24;RN;1994;66
23;CE;1994;123
22;PI;1994;19
17;TO;1994;12
16;AP;1994;33
15;PA;1994;217
14;RR;1994;18
13;AM;1994;110
12;AC;1994;23
11;RO;1994;95
12;AC;1995;32
13;AM;1995;113
14;RR;1995;28
11;RO;1995;79
15;PA;1995;183
16;AP;1995;34
17;TO;1995;15
21;MA;1995;79
22;PI;1995;28
23;CE;1995;195
24;RN;1995;66
25;PB;1995;131
26;PE;1995;1127
27;AL;1995;203
29;BA;1995;604
28;SE;1995;7333
31;MG;1995;325
32;ES;1995;347
33;RJ;1995;3567
35;SP;1995;3094
41;PR;1995;445
42;SC;1995;94
43;RS;1995;494
50;MS;1995;208
51;MT;1995;112
52;GO;1995;208
53;DF;1995;288
14;RR;1996;22
11;RO;1996;69
12;AC;1996;28
13;AM;1996;132
15;PA;1996;174
16;AP;1996;54
17;TO;1996;23
21;MA;1996;88
22;PI;1996;20
23;CE;1996;192
24;RN;1996;69
25;PB;1996;148
26;PE;1996;1272
27;AL;1996;233
29;BA;1996;854
28;SE;1996;7017
31;MG;1996;336
32;ES;1996;351
35;SP;1996;3173
33;RJ;1996;3157
53;DF;1996;268
52;GO;1996;223
51;MT;1996;196
50;MS;1996;223
43;RS;1996;492
42;SC;1996;108
41;PR;1996;438
35;SP;1997;3274
33;RJ;1997;3413
32;ES;1997;526
31;MG;1997;387
28;SE;1997;7600
29;BA;1997;850
27;AL;1997;196
26;PE;1997;1779
25;PB;1997;166
24;RN;1997;89
23;CE;1997;250
22;PI;1997;19
21;MA;1997;71
17;TO;1997;26
16;AP;1997;31
15;PA;1997;211
14;RR;1997;23
13;AM;1997;124
12;AC;1997;37
11;RO;1997;92
53;DF;1997;282
52;GO;1997;207
51;MT;1997;189
50;MS;1997;232
43;RS;1997;580
42;SC;1997;97
41;PR;1997;463
53;DF;1998;316
52;GO;1998;217
51;MT;1998;255
50;MS;1998;210
43;RS;1998;546
42;SC;1998;95
41;PR;1998;513
35;SP;1998;3833
33;RJ;1998;3328
32;ES;1998;669
31;MG;1998;480
28;SE;1998;8310
29;BA;1998;462
27;AL;1998;192
26;PE;1998;2221
25;PB;1998;165
24;RN;1998;83
23;CE;1998;251
22;PI;1998;23
21;MA;1998;68
17;TO;1998;30
16;AP;1998;43
15;PA;1998;240
14;RR;1998;31
13;AM;1998;139
12;AC;1998;34
11;RO;1998;141
16;AP;1999;41
31;MG;1999;413
28;SE;1999;9347
29;BA;1999;313
27;AL;1999;202
26;PE;1999;2166
25;PB;1999;138
24;RN;1999;58
23;CE;1999;262
22;PI;1999;33
21;MA;1999;44
17;TO;1999;38
15;PA;1999;175
14;RR;1999;34
13;AM;1999;137
12;AC;1999;6
11;RO;1999;129
32;ES;1999;664
33;RJ;1999;3365
35;SP;1999;4905
41;PR;1999;580
42;SC;1999;77
43;RS;1999;596
50;MS;1999;169
51;MT;1999;218
52;GO;1999;290
53;DF;1999;310
12;AC;2000;21
35;SP;2000;6116
28;SE;2000;157
42;SC;2000;99
43;RS;2000;662
14;RR;2000;28
11;RO;2000;127
24;RN;2000;79
33;RJ;2000;3459
41;PR;2000;620
22;PI;2000;55
26;PE;2000;2190
17;TO;2000;57
25;PB;2000;227
15;PA;2000;247
51;MT;2000;325
50;MS;2000;246
31;MG;2000;900
21;MA;2000;64
52;GO;2000;406
32;ES;2000;576
53;DF;2000;334
23;CE;2000;340
29;BA;2000;451
16;AP;2000;24
13;AM;2000;165
27;AL;2000;277
53;DF;2001;362
12;AC;2001;36
27;AL;2001;369
13;AM;2001;124
16;AP;2001;21
29;BA;2001;702
23;CE;2001;343
32;ES;2001;609
52;GO;2001;420
21;MA;2001;120
31;MG;2001;957
50;MS;2001;190
51;MT;2001;286
15;PA;2001;289
25;PB;2001;211
26;PE;2001;2442
22;PI;2001;64
41;PR;2001;731
33;RJ;2001;3511
24;RN;2001;108
11;RO;2001;157
14;RR;2001;20
43;RS;2001;719
42;SC;2001;133
28;SE;2001;228
35;SP;2001;6588
17;TO;2001;60
17;TO;2002;43
12;AC;2002;40
27;AL;2002;435
13;AM;2002;116
16;AP;2002;28
29;BA;2002;777
23;CE;2002;422
53;DF;2002;338
32;ES;2002;760
52;GO;2002;520
21;MA;2002;115
31;MG;2002;1249
50;MS;2002;203
51;MT;2002;279
15;PA;2002;373
25;PB;2002;227
26;PE;2002;2267
22;PI;2002;65
41;PR;2002;920
33;RJ;2002;3888
24;RN;2002;95
11;RO;2002;179
14;RR;2002;20
43;RS;2002;757
42;SC;2002;162
28;SE;2002;247
35;SP;2002;6042
43;RS;2003;755
12;AC;2003;31
27;AL;2003;476
13;AM;2003;111
16;AP;2003;51
29;BA;2003;1008
23;CE;2003;449
53;DF;2003;381
32;ES;2003;699
52;GO;2003;522
21;MA;2003;176
31;MG;2003;1814
50;MS;2003;240
51;MT;2003;270
15;PA;2003;466
25;PB;2003;260
26;PE;2003;2298
22;PI;2003;83
41;PR;2003;1065
33;RJ;2003;3675
24;RN;2003;155
11;RO;2003;155
14;RR;2003;16
42;SC;2003;220
28;SE;2003;200
35;SP;2003;6132
17;TO;2003;47
53;DF;2004;360
12;AC;2004;31
27;AL;2004;481
17;TO;2004;47
35;SP;2004;4743
28;SE;2004;167
42;SC;2004;202
52;GO;2004;601
43;RS;2004;837
14;RR;2004;15
11;RO;2004;170
24;RN;2004;134
33;RJ;2004;3555
41;PR;2004;1185
22;PI;2004;80
26;PE;2004;2125
25;PB;2004;257
15;PA;2004;539
51;MT;2004;236
50;MS;2004;217
31;MG;2004;2154
21;MA;2004;196
13;AM;2004;136
32;ES;2004;761
16;AP;2004;51
29;BA;2004;1023
23;CE;2004;524
52;GO;2005;619
17;TO;2005;39
35;SP;2005;3415
28;SE;2005;185
42;SC;2005;231
43;RS;2005;836
