cod;nome;período;valor
53;DF;1989;185
52;GO;1989;344
51;MT;1989;180
50;MS;1989;168
11;RO;1989;188
12;AC;1989;56
13;AM;1989;161
14;RR;1989;61
15;PA;1989;303
16;AP;1989;29
17;TO;1989;22
21;MA;1989;174
22;PI;1989;68
23;CE;1989;299
24;RN;1989;113
25;PB;1989;193
26;PE;1989;1326
27;AL;1989;339
28;SE;1989;64
29;BA;1989;574
31;MG;1989;546
32;ES;1989;349
33;RJ;1989;2310
43;RS;1989;806
35;SP;1989;5522
41;PR;1989;501
42;SC;1989;168
50;MS;1990;156
11;RO;1990;223
12;AC;1990;33
13;AM;1990;207
14;RR;1990;63
15;PA;1990;376
16;AP;1990;22
17;TO;1990;22
21;MA;1990;199
22;PI;1990;52
23;CE;1990;253
24;RN;1990;92
25;PB;1990;185
26;PE;1990;1377
27;AL;1990;284
28;SE;1990;88
29;BA;1990;437
31;MG;1990;520
32;ES;1990;384
33;RJ;1990;3833
35;SP;1990;5640
41;PR;1990;537
42;SC;1990;158
43;RS;1990;886
51;MT;1990;155
52;GO;1990;309
53;DF;1990;251
11;RO;1991;196
12;AC;1991;59
13;AM;1991;241
14;RR;1991;33
15;PA;1991;380
16;AP;1991;30
17;TO;1991;33
21;MA;1991;227
22;PI;1991;43
23;CE;1991;303
24;RN;1991;119
25;PB;1991;183
26;PE;1991;1426
27;AL;1991;239
28;SE;1991;131
29;BA;1991;266
31;MG;1991;541
32;ES;1991;413
33;RJ;1991;2640
35;SP;1991;5601
41;PR;1991;519
42;SC;1991;147
43;RS;1991;823
50;MS;1991;167
51;MT;1991;172
52;GO;1991;397
53;DF;1991;293
11;RO;1992;140
53;DF;1992;245
52;GO;1992;340
51;MT;1992;144
50;MS;1992;181
43;RS;1992;740
42;SC;1992;157
41;PR;1992;486
35;SP;1992;5285
33;RJ;1992;2257
32;ES;1992;361
31;MG;1992;481
29;BA;1992;405
28;SE;1992;212
27;AL;1992;243
26;PE;1992;1093
25;PB;1992;165
24;RN;1992;92
23;CE;1992;265
22;PI;1992;41
21;MA;1992;162
17;TO;1992;23
16;AP;1992;43
15;PA;1992;353
14;RR;1992;47
13;AM;1992;178
12;AC;1992;61
11;RO;1993;208
12;AC;1993;66
13;AM;1993;186
14;RR;1993;26
15;PA;1993;290
16;AP;1993;36
17;TO;1993;37
21;MA;1993;165
22;PI;1993;55
23;CE;1993;360
24;RN;1993;128
25;PB;1993;168
26;PE;1993;1416
27;AL;1993;238
28;SE;1993;159
29;BA;1993;825
31;MG;1993;533
32;ES;1993;516
33;RJ;1993;2557
35;SP;1993;5183
41;PR;1993;567
42;SC;1993;159
43;RS;1993;565
50;MS;1993;180
51;MT;1993;158
52;GO;1993;317
53;DF;1993;319
11;RO;1994;169
12;AC;1994;48
13;AM;1994;231
14;RR;1994;31
15;PA;1994;362
16;AP;1994;69
17;TO;1994;50
21;MA;1994;136
22;PI;1994;54
23;CE;1994;308
24;RN;1994;107
25;PB;1994;204
26;PE;1994;1381
27;AL;1994;257
28;SE;1994;181
29;BA;1994;963
31;MG;1994;525
32;ES;1994;517
33;RJ;1994;3091
35;SP;1994;5915
41;PR;1994;570
42;SC;1994;150
43;RS;1994;644
50;MS;1994;233
51;MT;1994;113
52;GO;1994;363
53;DF;1994;322
43;RS;1995;668
11;RO;1995;132
12;AC;1995;52
13;AM;1995;242
14;RR;1995;46
15;PA;1995;321
16;AP;1995;72
17;TO;1995;39
21;MA;1995;173
22;PI;1995;53
23;CE;1995;424
24;RN;1995;106
25;PB;1995;235
26;PE;1995;1372
27;AL;1995;291
28;SE;1995;124
29;BA;1995;783
31;MG;1995;566
32;ES;1995;569
33;RJ;1995;4129
35;SP;1995;6486
41;PR;1995;666
53;DF;1995;358
52;GO;1995;345
51;MT;1995;214
50;MS;1995;283
42;SC;1995;175
42;SC;1996;182
53;DF;1996;335
52;GO;1996;346
51;MT;1996;269
50;MS;1996;318
41;PR;1996;676
35;SP;1996;6808
33;RJ;1996;3998
32;ES;1996;573
31;MG;1996;579
29;BA;1996;1001
28;SE;1996;121
27;AL;1996;327
26;PE;1996;1529
25;PB;1996;302
24;RN;1996;113
23;CE;1996;443
22;PI;1996;50
21;MA;1996;162
17;TO;1996;53
16;AP;1996;91
15;PA;1996;348
14;RR;1996;51
13;AM;1996;261
12;AC;1996;49
11;RO;1996;105
43;RS;1996;677
12;AC;1997;59
53;DF;1997;349
52;GO;1997;327
51;MT;1997;302
50;MS;1997;307
43;RS;1997;765
42;SC;1997;173
41;PR;1997;718
35;SP;1997;7036
33;RJ;1997;4144
32;ES;1997;725
31;MG;1997;601
29;BA;1997;1093
28;SE;1997;106
27;AL;1997;258
26;PE;1997;2057
25;PB;1997;247
24;RN;1997;124
23;CE;1997;495
22;PI;1997;72
21;MA;1997;149
17;TO;1997;47
16;AP;1997;85
15;PA;1997;386
14;RR;1997;42
13;AM;1997;277
11;RO;1997;154
29;BA;1998;656
53;DF;1998;381
52;GO;1998;325
51;MT;1998;356
50;MS;1998;306
43;RS;1998;716
42;SC;1998;176
41;PR;1998;762
35;SP;1998;8020
33;RJ;1998;4008
32;ES;1998;880
31;MG;1998;729
28;SE;1998;87
27;AL;1998;260
26;PE;1998;2560
25;PB;1998;239
24;RN;1998;124
23;CE;1998;474
22;PI;1998;74
21;MA;1998;131
17;TO;1998;51
16;AP;1998;97
15;PA;1998;438
14;RR;1998;64
13;AM;1998;342
12;AC;1998;59
11;RO;1998;209
12;AC;1999;26
53;DF;1999;402
52;GO;1999;416
51;MT;1999;337
50;MS;1999;264
43;RS;1999;779
42;SC;1999;147
41;PR;1999;813
35;SP;1999;9019
33;RJ;1999;3876
32;ES;1999;815
31;MG;1999;792
11;RO;1999;171
29;BA;1999;475
28;SE;1999;168
27;AL;1999;273
26;PE;1999;2414
25;PB;1999;202
24;RN;1999;84
23;CE;1999;512
22;PI;1999;75
21;MA;1999;113
17;TO;1999;68
16;AP;1999;124
15;PA;1999;314
14;RR;1999;77
13;AM;1999;316
21;MA;2000;187
53;DF;2000;407
52;GO;2000;548
51;MT;2000;422
50;MS;2000;314
43;RS;2000;800
42;SC;2000;172
41;PR;2000;892
35;SP;2000;9249
33;RJ;2000;3982
32;ES;2000;744
31;MG;2000;1166
29;BA;2000;666
28;SE;2000;218
27;AL;2000;395
26;PE;2000;2470
25;PB;2000;297
24;RN;2000;122
23;CE;2000;620
22;PI;2000;126
17;TO;2000;86
16;AP;2000;107
15;PA;2000;418
14;RR;2000;68
13;AM;2000;352
12;AC;2000;67
11;RO;2000;210
11;RO;2001;240
53;DF;2001;447
52;GO;2001;591
51;MT;2001;427
50;MS;2001;267
43;RS;2001;880
42;SC;2001;214
41;PR;2001;1041
35;SP;2001;9193
33;RJ;2001;3962
32;ES;2001;784
31;MG;2001;1255
29;BA;2001;887
28;SE;2001;298
27;AL;2001;480
26;PE;2001;2744
25;PB;2001;288
24;RN;2001;156
23;CE;2001;651
22;PI;2001;133
21;MA;2001;296
17;TO;2001;89
16;AP;2001;115
15;PA;2001;515
14;RR;2001;51
13;AM;2001;285
12;AC;2001;72
23;CE;2002;729
53;DF;2002;416
52;GO;2002;709
51;MT;2002;414
50;MS;2002;313
43;RS;2002;953
42;SC;2002;263
41;PR;2002;1233
35;SP;2002;8610
33;RJ;2002;4555
32;ES;2002;936
31;MG;2002;1624
29;BA;2002;1014
28;SE;2002;323
27;AL;2002;559
26;PE;2002;2588
25;PB;2002;322
24;RN;2002;143
22;PI;2002;162
21;MA;2002;302
17;TO;2002;82
16;AP;2002;120
15;PA;2002;632
14;RR;2002;71
13;AM;2002;312
12;AC;2002;90
11;RO;2002;282
52;GO;2003;713
50;MS;2003;344
43;RS;2003;932
42;SC;2003;313
41;PR;2003;1368
35;SP;2003;8348
33;RJ;2003;4517
32;ES;2003;893
31;MG;2003;2241
29;BA;2003;1272
28;SE;2003;259
27;AL;2003;615
26;PE;2003;2645
25;PB;2003;339
24;RN;2003;200
23;CE;2003;771
22;PI;2003;156
21;MA;2003;419
17;TO;2003;87
16;AP;2003;133
15;PA;2003;747
14;RR;2003;53
13;AM;2003;343
12;AC;2003;78
11;RO;2003;231
51;MT;2003;406
53;DF;2003;454
23;CE;2004;826
53;DF;2004;436
52;GO;2004;816
51;MT;2004;401
50;MS;2004;319
43;RS;2004;1016
42;SC;2004;281
41;PR;2004;1566
35;SP;2004;6446
33;RJ;2004;4349
32;ES;2004;936
31;MG;2004;2571
29;BA;2004;1311
28;SE;2004;234
27;AL;2004;623
26;PE;2004;2490
25;PB;2004;350
24;RN;2004;181
22;PI;2004;173
21;MA;2004;398
17;TO;2004;99
16;AP;2004;116
15;PA;2004;811
14;RR;2004;44
13;AM;2004;309
12;AC;2004;75
11;RO;2004;280
50;MS;2005;308
15;PA;2005;1082
14;RR;2005;42
13;AM;2005;356
12;AC;2005;67
11;RO;2005;246
43;RS;2005;1034
42;SC;2005;322
41;PR;2005;1658
35;SP;2005;4719
33;RJ;2005;4177
32;ES;2005;904
31;MG;2005;2461
29;BA;2005;1703
28;SE;2005;249
27;AL;2005;696
26;PE;2005;2616
