cod;nome;período;valor
16;AP;1996;0
12;AC;1996;0
27;AL;1996;0
23;CE;1996;0
53;DF;1996;0
32;ES;1996;0
52;GO;1996;0
21;MA;1996;0
51;MT;1996;0
50;MS;1996;0
31;MG;1996;0
15;PA;1996;0
25;PB;1996;0
41;PR;1996;0
26;PE;1996;0
22;PI;1996;0
29;BA;1996;0
33;RJ;1996;0
24;RN;1996;0
43;RS;1996;0
11;RO;1996;0
14;RR;1996;0
42;SC;1996;0
35;SP;1996;335
13;AM;1996;0
28;SE;1996;0
17;TO;1996;0
25;PB;1997;67
28;SE;1997;47
35;SP;1997;2055
42;SC;1997;10
14;RR;1997;13
11;RO;1997;47
43;RS;1997;232
24;RN;1997;118
33;RJ;1997;3940
22;PI;1997;76
26;PE;1997;586
41;PR;1997;66
15;PA;1997;237
31;MG;1997;519
50;MS;1997;1
51;MT;1997;212
21;MA;1997;170
17;TO;1997;29
16;AP;1997;73
52;GO;1997;121
32;ES;1997;262
53;DF;1997;388
23;CE;1997;278
27;AL;1997;124
12;AC;1997;3
13;AM;1997;353
29;BA;1997;120
12;AC;1998;21
26;PE;1998;1106
16;AP;1998;134
17;TO;1998;53
28;SE;1998;79
35;SP;1998;5434
42;SC;1998;34
14;RR;1998;91
11;RO;1998;105
43;RS;1998;231
15;PA;1998;472
25;PB;1998;82
51;MT;1998;364
21;MA;1998;177
24;RN;1998;119
50;MS;1998;8
29;BA;1998;248
31;MG;1998;700
52;GO;1998;180
41;PR;1998;232
33;RJ;1998;3631
22;PI;1998;78
23;CE;1998;305
53;DF;1998;415
32;ES;1998;328
27;AL;1998;216
13;AM;1998;404
13;AM;1999;422
31;MG;1999;732
15;PA;1999;462
25;PB;1999;111
53;DF;1999;440
23;CE;1999;518
24;RN;1999;122
33;RJ;1999;3726
22;PI;1999;85
26;PE;1999;2186
42;SC;1999;44
27;AL;1999;338
12;AC;1999;15
41;PR;1999;262
35;SP;1999;6182
28;SE;1999;101
32;ES;1999;554
