cod;nome;período;valor
15;PA;1996;0
31;MG;1996;0
25;PB;1996;0
41;PR;1996;0
26;PE;1996;0
22;PI;1996;0
33;RJ;1996;0
24;RN;1996;0
51;MT;1996;0
21;MA;1996;0
52;GO;1996;0
32;ES;1996;0
43;RS;1996;0
11;RO;1996;0
14;RR;1996;0
42;SC;1996;0
35;SP;1996;143
28;SE;1996;0
17;TO;1996;0
53;DF;1996;0
23;CE;1996;0
50;MS;1996;0
29;BA;1996;0
12;AC;1996;0
27;AL;1996;0
16;AP;1996;0
13;AM;1996;0
28;SE;1997;3
16;AP;1997;2
12;AC;1997;0
13;AM;1997;4
29;BA;1997;4
23;CE;1997;7
53;DF;1997;10
32;ES;1997;16
52;GO;1997;13
21;MA;1997;8
51;MT;1997;21
50;MS;1997;0
31;MG;1997;49
15;PA;1997;2
25;PB;1997;1
41;PR;1997;36
26;PE;1997;33
22;PI;1997;3
33;RJ;1997;250
24;RN;1997;12
43;RS;1997;144
27;AL;1997;4
11;RO;1997;8
14;RR;1997;1
42;SC;1997;12
35;SP;1997;274
17;TO;1997;3
32;ES;1998;22
12;AC;1998;1
27;AL;1998;8
16;AP;1998;3
17;TO;1998;4
28;SE;1998;2
35;SP;1998;573
42;SC;1998;44
14;RR;1998;3
11;RO;1998;11
43;RS;1998;137
24;RN;1998;8
33;RJ;1998;202
22;PI;1998;5
26;PE;1998;60
41;PR;1998;117
25;PB;1998;6
15;PA;1998;10
31;MG;1998;57
50;MS;1998;3
51;MT;1998;23
21;MA;1998;5
52;GO;1998;12
53;DF;1998;13
23;CE;1998;11
29;BA;1998;3
13;AM;1998;2
32;ES;1999;22
33;RJ;1999;232
52;GO;1999;40
21;MA;1999;3
51;MT;1999;23
24;RN;1999;7
50;MS;1999;19
31;MG;1999;69
15;PA;1999;1
25;PB;1999;13
41;PR;1999;126
28;SE;1999;7
26;PE;1999;55
12;AC;1999;3
22;PI;1999;0
17;TO;1999;3
43;RS;1999;134
11;RO;1999;12
14;RR;1999;8
16;AP;1999;1
42;SC;1999;42
13;AM;1999;4
29;BA;1999;9
23;CE;1999;19
53;DF;1999;15
35;SP;1999;644
27;AL;1999;7
33;RJ;2000;246
13;AM;2000;6
24;RN;2000;11
23;CE;2000;29
21;MA;2000;4
35;SP;2000;740
28;SE;2000;5
14;RR;2000;10
32;ES;2000;23
50;MS;2000;38
22;PI;2000;3
16;AP;2000;0
31;MG;2000;102
29;BA;2000;15
25;PB;2000;7
52;GO;2000;51
11;RO;2000;14
27;AL;2000;10
26;PE;2000;70
43;RS;2000;147
42;SC;2000;40
17;TO;2000;5
51;MT;2000;33
15;PA;2000;7
12;AC;2000;5
41;PR;2000;137
53;DF;2000;7
52;GO;2001;42
21;MA;2001;16
26;PE;2001;55
33;RJ;2001;206
35;SP;2001;699
17;TO;2001;9
16;AP;2001;2
28;SE;2001;6
13;AM;2001;8
41;PR;2001;169
43;RS;2001;156
23;CE;2001;21
25;PB;2001;9
42;SC;2001;41
11;RO;2001;23
15;PA;2001;20
53;DF;2001;8
24;RN;2001;5
29;BA;2001;13
31;MG;2001;94
32;ES;2001;33
12;AC;2001;4
50;MS;2001;29
14;RR;2001;1
51;MT;2001;33
27;AL;2001;11
22;PI;2001;7
17;TO;2002;4
22;PI;2002;6
24;RN;2002;9
27;AL;2002;7
33;RJ;2002;236
23;CE;2002;16
13;AM;2002;7
53;DF;2002;13
32;ES;2002;29
52;GO;2002;50
28;SE;2002;7
43;RS;2002;162
21;MA;2002;7
51;MT;2002;37
14;RR;2002;3
50;MS;2002;41
12;AC;2002;3
31;MG;2002;120
15;PA;2002;10
29;BA;2002;15
11;RO;2002;12
42;SC;2002;61
25;PB;2002;7
35;SP;2002;673
41;PR;2002;167
16;AP;2002;4
26;PE;2002;75
35;SP;2003;640
13;AM;2003;5
26;PE;2003;53
22;PI;2003;7
51;MT;2003;34
28;SE;2003;8
17;TO;2003;5
16;AP;2003;2
15;PA;2003;15
33;RJ;2003;228
25;PB;2003;4
23;CE;2003;10
27;AL;2003;5
29;BA;2003;18
24;RN;2003;14
53;DF;2003;14
32;ES;2003;42
43;RS;2003;152
11;RO;2003;22
14;RR;2003;1
21;MA;2003;11
31;MG;2003;152
52;GO;2003;45
42;SC;2003;52
12;AC;2003;6
50;MS;2003;35
41;PR;2003;190
51;MT;2004;39
33;RJ;2004;230
21;MA;2004;9
17;TO;2004;4
28;SE;2004;6
52;GO;2004;64
35;SP;2004;572
26;PE;2004;56
31;MG;2004;115
12;AC;2004;3
42;SC;2004;63
14;RR;2004;3
11;RO;2004;17
15;PA;2004;14
16;AP;2004;1
13;AM;2004;13
22;PI;2004;10
29;BA;2004;20
23;CE;2004;15
53;DF;2004;8
32;ES;2004;33
27;AL;2004;9
25;PB;2004;5
41;PR;2004;202
43;RS;2004;167
50;MS;2004;24
24;RN;2004;4
35;SP;2005;512
52;GO;2005;46
50;MS;2005;38
24;RN;2005;9
17;TO;2005;6
33;RJ;2005;204
41;PR;2005;185
12;AC;2005;5
22;PI;2005;8
26;PE;2005;37
23;CE;2005;16
29;BA;2005;22
51;MT;2005;38
21;MA;2005;8
16;AP;2005;2
11;RO;2005;14
42;SC;2005;54
31;MG;2005;143
14;RR;2005;2
27;AL;2005;8
15;PA;2005;26
43;RS;2005;186
13;AM;2005;7
28;SE;2005;4
32;ES;2005;30
53;DF;2005;14
25;PB;2005;7
28;SE;2006;9
13;AM;2006;18
29;BA;2006;21
17;TO;2006;4
23;CE;2006;17
