cod;nome;período;valor
53;DF;1979;28
21;MA;1979;34
16;AP;1979;5
15;PA;1979;117
14;RR;1979;2
13;AM;1979;55
12;AC;1979;13
11;RO;1979;50
17;TO;1979;0
22;PI;1979;7
23;CE;1979;85
24;RN;1979;46
25;PB;1979;71
26;PE;1979;297
27;AL;1979;131
28;SE;1979;22
29;BA;1979;116
31;MG;1979;435
32;ES;1979;82
33;RJ;1979;1726
35;SP;1979;570
41;PR;1979;379
42;SC;1979;79
43;RS;1979;193
50;MS;1979;62
51;MT;1979;2
52;GO;1979;163
25;PB;1980;127
53;DF;1980;21
52;GO;1980;226
51;MT;1980;22
50;MS;1980;118
43;RS;1980;227
42;SC;1980;119
41;PR;1980;367
35;SP;1980;699
33;RJ;1980;2093
32;ES;1980;122
31;MG;1980;466
29;BA;1980;139
28;SE;1980;30
27;AL;1980;148
26;PE;1980;613
24;RN;1980;77
23;CE;1980;159
22;PI;1980;6
21;MA;1980;29
17;TO;1980;0
16;AP;1980;2
15;PA;1980;169
14;RR;1980;0
13;AM;1980;46
12;AC;1980;12
11;RO;1980;67
28;SE;1981;36
27;AL;1981;190
26;PE;1981;758
11;RO;1981;67
12;AC;1981;8
13;AM;1981;52
14;RR;1981;2
15;PA;1981;171
16;AP;1981;4
17;TO;1981;0
25;PB;1981;133
24;RN;1981;80
23;CE;1981;187
22;PI;1981;23
21;MA;1981;54
52;GO;1981;268
51;MT;1981;38
50;MS;1981;147
43;RS;1981;237
42;SC;1981;105
41;PR;1981;451
35;SP;1981;958
33;RJ;1981;1774
53;DF;1981;81
32;ES;1981;130
31;MG;1981;374
29;BA;1981;124
23;CE;1982;149
11;RO;1982;79
12;AC;1982;18
13;AM;1982;58
14;RR;1982;1
15;PA;1982;176
16;AP;1982;8
17;TO;1982;0
21;MA;1982;62
53;DF;1982;101
52;GO;1982;226
51;MT;1982;24
50;MS;1982;154
43;RS;1982;256
42;SC;1982;86
41;PR;1982;488
35;SP;1982;926
33;RJ;1982;1575
32;ES;1982;114
31;MG;1982;346
29;BA;1982;211
28;SE;1982;34
27;AL;1982;185
26;PE;1982;788
25;PB;1982;112
22;PI;1982;28
24;RN;1982;108
22;PI;1983;37
21;MA;1983;56
17;TO;1983;0
16;AP;1983;12
15;PA;1983;240
14;RR;1983;2
13;AM;1983;60
12;AC;1983;12
11;RO;1983;64
53;DF;1983;93
52;GO;1983;239
51;MT;1983;51
50;MS;1983;137
43;RS;1983;253
42;SC;1983;121
41;PR;1983;550
35;SP;1983;1317
33;RJ;1983;859
32;ES;1983;118
31;MG;1983;339
29;BA;1983;154
28;SE;1983;42
27;AL;1983;267
26;PE;1983;965
25;PB;1983;120
24;RN;1983;88
23;CE;1983;217
50;MS;1984;177
11;RO;1984;106
12;AC;1984;13
13;AM;1984;83
14;RR;1984;0
15;PA;1984;296
16;AP;1984;12
17;TO;1984;0
21;MA;1984;84
22;PI;1984;36
23;CE;1984;196
24;RN;1984;67
25;PB;1984;147
26;PE;1984;1154
27;AL;1984;304
28;SE;1984;23
29;BA;1984;248
31;MG;1984;437
32;ES;1984;151
33;RJ;1984;1315
35;SP;1984;1864
41;PR;1984;473
42;SC;1984;120
43;RS;1984;258
51;MT;1984;68
52;GO;1984;241
53;DF;1984;74
13;AM;1985;85
12;AC;1985;23
11;RO;1985;174
53;DF;1985;150
52;GO;1985;211
51;MT;1985;118
50;MS;1985;123
43;RS;1985;219
42;SC;1985;116
41;PR;1985;440
35;SP;1985;2010
33;RJ;1985;1460
32;ES;1985;209
31;MG;1985;382
29;BA;1985;254
28;SE;1985;33
27;AL;1985;281
26;PE;1985;1310
25;PB;1985;140
24;RN;1985;68
23;CE;1985;163
22;PI;1985;23
21;MA;1985;74
17;TO;1985;0
16;AP;1985;15
15;PA;1985;265
14;RR;1985;3
50;MS;1986;136
52;GO;1986;285
53;DF;1986;148
11;RO;1986;216
12;AC;1986;25
13;AM;1986;75
14;RR;1986;3
15;PA;1986;301
16;AP;1986;7
17;TO;1986;0
21;MA;1986;104
22;PI;1986;26
23;CE;1986;143
24;RN;1986;49
25;PB;1986;195
26;PE;1986;1400
27;AL;1986;282
28;SE;1986;33
29;BA;1986;284
31;MG;1986;379
32;ES;1986;205
33;RJ;1986;1399
35;SP;1986;2126
41;PR;1986;396
42;SC;1986;105
43;RS;1986;309
51;MT;1986;172
15;PA;1987;310
29;BA;1987;294
28;SE;1987;22
27;AL;1987;274
26;PE;1987;1482
25;PB;1987;149
24;RN;1987;81
23;CE;1987;141
22;PI;1987;29
21;MA;1987;116
17;TO;1987;0
16;AP;1987;9
42;SC;1987;151
14;RR;1987;0
13;AM;1987;101
12;AC;1987;51
11;RO;1987;218
33;RJ;1987;2680
32;ES;1987;232
31;MG;1987;340
41;PR;1987;450
35;SP;1987;2379
53;DF;1987;211
52;GO;1987;304
51;MT;1987;185
50;MS;1987;173
43;RS;1987;335
51;MT;1988;188
50;MS;1988;172
43;RS;1988;510
16;AP;1988;5
17;TO;1988;0
21;MA;1988;141
11;RO;1988;210
22;PI;1988;38
23;CE;1988;175
24;RN;1988;91
25;PB;1988;156
26;PE;1988;1510
27;AL;1988;342
28;SE;1988;31
29;BA;1988;429
31;MG;1988;347
32;ES;1988;265
42;SC;1988;155
41;PR;1988;455
35;SP;1988;2438
33;RJ;1988;2028
15;PA;1988;337
14;RR;1988;2
13;AM;1988;106
12;AC;1988;43
53;DF;1988;161
52;GO;1988;400
43;RS;1989;796
32;ES;1989;395
31;MG;1989;432
29;BA;1989;591
28;SE;1989;71
27;AL;1989;331
26;PE;1989;1698
25;PB;1989;222
24;RN;1989;124
23;CE;1989;216
22;PI;1989;60
21;MA;1989;176
17;TO;1989;36
16;AP;1989;20
15;PA;1989;356
14;RR;1989;1
13;AM;1989;146
12;AC;1989;48
11;RO;1989;285
53;DF;1989;182
52;GO;1989;471
51;MT;1989;207
50;MS;1989;197
42;SC;1989;157
41;PR;1989;498
35;SP;1989;2822
33;RJ;1989;2942
35;SP;1990;2969
33;RJ;1990;5557
32;ES;1990;419
31;MG;1990;494
29;BA;1990;523
28;SE;1990;75
27;AL;1990;273
26;PE;1990;1728
25;PB;1990;224
24;RN;1990;117
23;CE;1990;242
22;PI;1990;33
21;MA;1990;194
17;TO;1990;25
16;AP;1990;17
15;PA;1990;459
14;RR;1990;9
13;AM;1990;201
12;AC;1990;33
11;RO;1990;293
52;GO;1990;380
51;MT;1990;180
50;MS;1990;162
43;RS;1990;998
53;DF;1990;278
42;SC;1990;167
41;PR;1990;538
27;AL;1991;257
25;PB;1991;180
24;RN;1991;109
53;DF;1991;314
23;CE;1991;242
22;PI;1991;31
21;MA;1991;203
17;TO;1991;46
16;AP;1991;19
15;PA;1991;491
14;RR;1991;18
13;AM;1991;233
12;AC;1991;63
35;SP;1991;3138
11;RO;1991;265
41;PR;1991;562
42;SC;1991;165
43;RS;1991;1117
50;MS;1991;218
51;MT;1991;227
33;RJ;1991;3979
32;ES;1991;473
31;MG;1991;516
52;GO;1991;440
29;BA;1991;266
28;SE;1991;179
26;PE;1991;2008
41;PR;1992;554
24;RN;1992;110
26;PE;1992;1719
27;AL;1992;284
28;SE;1992;312
29;BA;1992;428
31;MG;1992;488
32;ES;1992;381
33;RJ;1992;3580
35;SP;1992;2955
11;RO;1992;229
12;AC;1992;53
13;AM;1992;168
14;RR;1992;52
15;PA;1992;468
16;AP;1992;38
17;TO;1992;40
21;MA;1992;209
22;PI;1992;30
42;SC;1992;151
43;RS;1992;1035
50;MS;1992;235
51;MT;1992;158
52;GO;1992;417
53;DF;1992;271
25;PB;1992;218
23;CE;1992;202
11;RO;1993;280
53;DF;1993;362
52;GO;1993;375
51;MT;1993;170
50;MS;1993;257
42;SC;1993;175
41;PR;1993;639
35;SP;1993;3683
33;RJ;1993;4326
32;ES;1993;555
31;MG;1993;535
29;BA;1993;1013
28;SE;1993;165
27;AL;1993;351
26;PE;1993;1893
25;PB;1993;205
24;RN;1993;151
23;CE;1993;270
22;PI;1993;30
17;TO;1993;27
43;RS;1993;687
21;MA;1993;173
14;RR;1993;43
15;PA;1993;365
16;AP;1993;39
13;AM;1993;172
12;AC;1993;61
24;RN;1994;117
11;RO;1994;221
53;DF;1994;387
52;GO;1994;442
51;MT;1994;145
50;MS;1994;283
43;RS;1994;790
42;SC;1994;154
41;PR;1994;708
35;SP;1994;4127
33;RJ;1994;5430
32;ES;1994;596
31;MG;1994;460
29;BA;1994;1164
28;SE;1994;213
27;AL;1994;384
26;PE;1994;1897
25;PB;1994;188
23;CE;1994;260
22;PI;1994;32
21;MA;1994;121
17;TO;1994;30
16;AP;1994;53
15;PA;1994;413
14;RR;1994;49
13;AM;1994;184
12;AC;1994;41
31;MG;1995;607
