cod;nome;período;valor
31;MG;1989;5.05
32;ES;1989;28.9
33;RJ;1989;45.7
35;SP;1989;17.7
41;PR;1989;11
42;SC;1989;6.47
43;RS;1989;17.2
50;MS;1989;20.2
51;MT;1989;20.6
52;GO;1989;21.9
53;DF;1989;24.1
11;RO;1989;49.4
12;AC;1989;22.3
13;AM;1989;13.6
14;RR;1989;0.94
15;PA;1989;13.9
16;AP;1989;14.1
17;TO;1989;6.61
21;MA;1989;7.02
22;PI;1989;4.33
23;CE;1989;6.77
24;RN;1989;10.6
25;PB;1989;13.3
26;PE;1989;47.8
27;AL;1989;26.2
28;SE;1989;9.44
29;BA;1989;9.96
50;MS;1990;16.5
21;MA;1990;7.49
17;TO;1990;4.54
16;AP;1990;10
15;PA;1990;17.4
14;RR;1990;7.1
13;AM;1990;17.9
12;AC;1990;14
11;RO;1990;50.1
53;DF;1990;34.5
52;GO;1990;17.6
43;RS;1990;20.6
42;SC;1990;6.72
41;PR;1990;11.6
35;SP;1990;18.1
33;RJ;1990;85.6
32;ES;1990;30
31;MG;1990;5.77
29;BA;1990;8.46
28;SE;1990;9.67
27;AL;1990;21.6
26;PE;1990;47.5
25;PB;1990;13.5
24;RN;1990;9.35
23;CE;1990;7.2
22;PI;1990;2.57
51;MT;1990;16.3
29;BA;1991;4.18
51;MT;1991;19.1
50;MS;1991;21.2
43;RS;1991;22.9
42;SC;1991;6.5
41;PR;1991;12.1
53;DF;1991;37.8
52;GO;1991;19.6
35;SP;1991;18.6
33;RJ;1991;60.4
32;ES;1991;33.9
11;RO;1991;42.1
12;AC;1991;26.4
13;AM;1991;20.9
14;RR;1991;12.4
15;PA;1991;17.9
16;AP;1991;11.7
17;TO;1991;9.13
21;MA;1991;7.43
22;PI;1991;2.21
23;CE;1991;7.34
24;RN;1991;8.73
25;PB;1991;10.2
26;PE;1991;54.5
27;AL;1991;19
28;SE;1991;22.9
31;MG;1991;6.04
24;RN;1992;8.47
23;CE;1992;5.97
22;PI;1992;2.2
21;MA;1992;7.76
17;TO;1992;7.64
16;AP;1992;22.7
15;PA;1992;17
14;RR;1992;38.6
13;AM;1992;14.4
12;AC;1992;21.1
11;RO;1992;36.2
53;DF;1992;32.3
52;GO;1992;17.5
51;MT;1992;13.4
50;MS;1992;22.6
43;RS;1992;20.5
42;SC;1992;6.11
41;PR;1992;11.9
35;SP;1992;17.6
33;RJ;1992;53.9
32;ES;1992;26.5
31;MG;1992;5.51
29;BA;1992;6.77
28;SE;1992;39.7
27;AL;1992;21.5
26;PE;1992;46.7
25;PB;1992;12.4
29;BA;1993;15.5
53;DF;1993;41.7
52;GO;1993;15.6
51;MT;1993;14.2
50;MS;1993;25.2
43;RS;1993;13.8
42;SC;1993;6.92
41;PR;1993;13.7
35;SP;1993;21.3
33;RJ;1993;64.4
32;ES;1993;38.7
31;MG;1993;5.82
28;SE;1993;20.4
27;AL;1993;25.3
26;PE;1993;50.3
25;PB;1993;12.1
24;RN;1993;11.2
23;CE;1993;7.83
22;PI;1993;2
21;MA;1993;6.37
17;TO;1993;4.82
16;AP;1993;23.8
15;PA;1993;13.1
14;RR;1993;29.2
13;AM;1993;14.4
12;AC;1993;24.8
11;RO;1993;39.8
24;RN;1994;8.94
11;RO;1994;30.2
12;AC;1994;15.9
13;AM;1994;14.9
14;RR;1994;33.7
15;PA;1994;14
16;AP;1994;30.7
17;TO;1994;4.92
21;MA;1994;4.45
22;PI;1994;2.35
23;CE;1994;7.39
25;PB;1994;10.7
26;PE;1994;50.1
27;AL;1994;27.8
28;SE;1994;24.5
29;BA;1994;17.4
31;MG;1994;5.05
32;ES;1994;40.1
33;RJ;1994;79.8
35;SP;1994;23.5
41;PR;1994;15
42;SC;1994;6.07
43;RS;1994;15.4
50;MS;1994;27.7
51;MT;1994;11.8
52;GO;1994;18.8
53;DF;1994;43.2
50;MS;1995;40.1
53;DF;1995;49.9
51;MT;1995;24.7
11;RO;1995;21.1
12;AC;1995;20.8
13;AM;1995;14.5
14;RR;1995;33.8
15;PA;1995;13.1
16;AP;1995;33
17;TO;1995;6.2
21;MA;1995;5.85
22;PI;1995;3
52;GO;1995;17.4
23;CE;1995;10.4
24;RN;1995;10
25;PB;1995;13
26;PE;1995;54
27;AL;1995;34
28;SE;1995;15.3
29;BA;1995;15.6
31;MG;1995;6.82
