cod;nome;período;valor
31;MG;1980;2.553
22;PI;1980;1
21;MA;1980;1.292
29;BA;1980;1.392
23;CE;1980;1.464
24;RN;1980;1.865
43;RS;1980;1.94
42;SC;1980;1.961
41;PR;1980;3.081
53;DF;1980;3.381
25;PB;1980;3.477
28;SE;1980;3.85
15;PA;1980;4.033
35;SP;1980;4.465
13;AM;1980;4.526
12;AC;1980;4.851
52;GO;1980;4.985
50;MS;1980;5.006
32;ES;1980;5.179
11;RO;1980;5.837
33;RJ;1980;6.038
26;PE;1980;6.373
27;AL;1980;6.99
14;RR;1980;17.627
16;AP;1980;0
17;TO;1980;0
51;MT;1980;0.614
52;GO;1981;5.84
22;PI;1981;0.978
17;TO;1981;0
14;RR;1981;24.284
27;AL;1981;9.654
50;MS;1981;6.814
16;AP;1981;7.828
26;PE;1981;7.84
32;ES;1981;8.91
21;MA;1981;1.089
29;BA;1981;1.132
42;SC;1981;1.76
11;RO;1981;9.131
28;SE;1981;1.865
12;AC;1981;2.344
43;RS;1981;2.459
23;CE;1981;3.009
41;PR;1981;3.231
13;AM;1981;3.381
25;PB;1981;3.408
31;MG;1981;3.574
24;RN;1981;3.642
51;MT;1981;4.021
35;SP;1981;4.535
33;RJ;1981;4.573
15;PA;1981;5.094
53;DF;1981;5.181
24;RN;1982;1.77
51;MT;1982;1.069
22;PI;1982;1.277
23;CE;1982;1.796
42;SC;1982;2.426
43;RS;1982;2.535
29;BA;1982;2.644
53;DF;1982;2.744
31;MG;1982;2.996
15;PA;1982;3.124
28;SE;1982;3.59
16;AP;1982;3.676
13;AM;1982;3.691
32;ES;1982;3.746
33;RJ;1982;4.042
25;PB;1982;4.115
41;PR;1982;4.329
35;SP;1982;4.494
12;AC;1982;4.512
27;AL;1982;5.192
26;PE;1982;5.464
50;MS;1982;5.685
52;GO;1982;5.878
11;RO;1982;12.801
14;RR;1982;14.162
17;TO;1982;0
21;MA;1982;0.356
26;PE;1983;9.853
21;MA;1983;0.873
22;PI;1983;0
17;TO;1983;0
16;AP;1983;13.858
29;BA;1983;1.431
43;RS;1983;1.769
51;MT;1983;1.999
24;RN;1983;2.411
13;AM;1983;2.649
23;CE;1983;2.769
28;SE;1983;2.884
31;MG;1983;2.964
41;PR;1983;3.09
42;SC;1983;3.924
33;RJ;1983;4.032
25;PB;1983;4.037
50;MS;1983;5.075
53;DF;1983;5.332
32;ES;1983;6.126
14;RR;1983;6.291
35;SP;1983;6.355
15;PA;1983;6.373
12;AC;1983;6.523
52;GO;1983;6.703
11;RO;1983;7.35
27;AL;1983;8.048
35;SP;1984;6.76
24;RN;1984;1.01
21;MA;1984;1.03
28;SE;1984;1.11
22;PI;1984;1.23
29;BA;1984;1.95
23;CE;1984;1.98
31;MG;1984;3.32
53;DF;1984;3.89
41;PR;1984;4.08
13;AM;1984;4.23
15;PA;1984;4.33
11;RO;1984;4.78
33;RJ;1984;4.88
52;GO;1984;5.37
14;RR;1984;5.66
27;AL;1984;5.85
12;AC;1984;6.3
32;ES;1984;6.31
26;PE;1984;7.1
50;MS;1984;8.99
16;AP;1984;9.83
17;TO;1984;0
43;RS;1984;3.11
51;MT;1984;2.82
25;PB;1984;2.48
42;SC;1984;2.02
25;PB;1985;5.11
14;RR;1985;0
11;RO;1985;11.43
27;AL;1985;10.74
26;PE;1985;8.13
32;ES;1985;5.31
52;GO;1985;6.17
16;AP;1985;6.22
35;SP;1985;6.79
21;MA;1985;1.18
22;PI;1985;1.2
17;TO;1985;0
24;RN;1985;1.63
29;BA;1985;1.84
23;CE;1985;2.42
42;SC;1985;2.65
28;SE;1985;2.69
15;PA;1985;2.78
43;RS;1985;3.1
31;MG;1985;3.14
13;AM;1985;3.66
41;PR;1985;3.88
50;MS;1985;3.95
51;MT;1985;7.52
12;AC;1985;4.06
33;RJ;1985;4.47
53;DF;1985;5.05
31;MG;1986;2.545
42;SC;1986;0.816
22;PI;1986;0.59
24;RN;1986;0.319
17;TO;1986;0
11;RO;1986;8.949
25;PB;1986;6.928
50;MS;1986;6.851
35;SP;1986;6.644
26;PE;1986;6.644
53;DF;1986;6.555
32;ES;1986;6.382
51;MT;1986;6.277
16;AP;1986;5.917
52;GO;1986;5.832
27;AL;1986;5.832
33;RJ;1986;5.146
14;RR;1986;4.723
15;PA;1986;4.688
12;AC;1986;3.928
23;CE;1986;3.215
41;PR;1986;3.013
28;SE;1986;2.605
43;RS;1986;2.587
13;AM;1986;1.957
29;BA;1986;1.858
21;MA;1986;1.322
27;AL;1987;8.661
21;MA;1987;0.812
28;SE;1987;0.505
22;PI;1987;0.289
17;TO;1987;0
12;AC;1987;17.129
16;AP;1987;11.297
11;RO;1987;10.61
14;RR;1987;8.736
53;DF;1987;7.592
52;GO;1987;7.471
35;SP;1987;6.792
26;PE;1987;6.636
32;ES;1987;5.989
51;MT;1987;5.564
33;RJ;1987;5.476
50;MS;1987;5.02
25;PB;1987;4.931
41;PR;1987;3.819
15;PA;1987;3.56
13;AM;1987;3.398
43;RS;1987;2.828
31;MG;1987;2.613
42;SC;1987;2.414
23;CE;1987;1.638
24;RN;1987;1.556
29;BA;1987;1.361
14;RR;1988;20.343
23;CE;1988;1.841
22;PI;1988;1.137
21;MA;1988;1.118
16;AP;1988;0
17;TO;1988;0
28;SE;1988;0.981
24;RN;1988;2.432
42;SC;1988;2.698
31;MG;1988;2.773
51;MT;1988;3.409
43;RS;1988;3.732
29;BA;1988;2.219
15;PA;1988;3.917
41;PR;1988;4.201
53;DF;1988;4.291
50;MS;1988;4.91
33;RJ;1988;5.179
13;AM;1988;5.472
12;AC;1988;5.543
25;PB;1988;5.774
26;PE;1988;6.229
35;SP;1988;6.471
27;AL;1988;6.984
52;GO;1988;7.125
32;ES;1988;8.977
11;RO;1988;14.915
12;AC;1989;7.19
23;CE;1989;1.47
22;PI;1989;2.24
21;MA;1989;2.04
17;TO;1989;5.85
16;AP;1989;5.19
15;PA;1989;4.1
14;RR;1989;30.51
13;AM;1989;7.06
11;RO;1989;18.07
53;DF;1989;3.05
52;GO;1989;6.97
51;MT;1989;5.43
50;MS;1989;8.41
43;RS;1989;5.13
42;SC;1989;2.35
41;PR;1989;3.68
35;SP;1989;7.75
33;RJ;1989;7.95
32;ES;1989;8.01
31;MG;1989;3.07
24;RN;1989;1.49
25;PB;1989;5.46
26;PE;1989;8.9
27;AL;1989;8.23
28;SE;1989;2.38
29;BA;1989;2.86
16;AP;1990;7.5
17;TO;1990;2.45
53;DF;1990;6.34
