cod;nome;período;valor
12;AC;1989;25.34
11;RO;1989;37.51
53;DF;1989;23.54
52;GO;1989;19.16
51;MT;1989;14.54
50;MS;1989;19.11
43;RS;1989;18.6
42;SC;1989;6.4
41;PR;1989;10.54
35;SP;1989;21.09
33;RJ;1989;49.9
32;ES;1989;24.97
31;MG;1989;5.14
28;SE;1989;23.01
29;BA;1989;10.31
27;AL;1989;20.92
26;PE;1989;48.3
25;PB;1989;12.04
24;RN;1989;10.53
23;CE;1989;7.12
22;PI;1989;4.36
21;MA;1989;6.57
17;TO;1989;5.35
16;AP;1989;17.12
15;PA;1989;12.52
14;RR;1989;1.65
13;AM;1989;14.54
31;MG;1990;5.48
11;RO;1990;40.53
16;AP;1990;13.94
17;TO;1990;4.03
21;MA;1990;6.78
22;PI;1990;2.29
23;CE;1990;7.29
24;RN;1990;8.66
25;PB;1990;11.02
26;PE;1990;48.12
27;AL;1990;16.57
29;BA;1990;8.93
28;SE;1990;31.72
12;AC;1990;15.87
32;ES;1990;29.41
33;RJ;1990;91.75
35;SP;1990;21.31
41;PR;1990;11.45
42;SC;1990;5.94
43;RS;1990;22.86
50;MS;1990;14.21
51;MT;1990;11.23
52;GO;1990;15.15
53;DF;1990;31.58
13;AM;1990;20.46
14;RR;1990;4.66
15;PA;1990;17.84
33;RJ;1991;63.7
15;PA;1991;16.56
11;RO;1991;31.75
12;AC;1991;32.55
13;AM;1991;23.43
14;RR;1991;13.06
17;TO;1991;6.69
21;MA;1991;9.13
22;PI;1991;2.1
23;CE;1991;7.9
24;RN;1991;9.46
25;PB;1991;8.99
26;PE;1991;51.74
27;AL;1991;13.77
29;BA;1991;3.86
28;SE;1991;26.76
31;MG;1991;6.08
32;ES;1991;30.82
16;AP;1991;10.93
35;SP;1991;22.29
41;PR;1991;10.82
42;SC;1991;6.23
43;RS;1991;23.69
50;MS;1991;20.48
51;MT;1991;15.93
52;GO;1991;18.27
53;DF;1991;40.5
13;AM;1992;12.99
52;GO;1992;15.22
53;DF;1992;32.43
51;MT;1992;11.36
15;PA;1992;15.18
16;AP;1992;25.8
17;TO;1992;5.23
21;MA;1992;5.59
22;PI;1992;2.07
23;CE;1992;5.73
24;RN;1992;8.23
25;PB;1992;11.4
26;PE;1992;38.85
27;AL;1992;18.01
29;BA;1992;7.01
28;SE;1992;23.57
31;MG;1992;5.17
32;ES;1992;26.07
33;RJ;1992;54.62
35;SP;1992;20.51
41;PR;1992;10.98
42;SC;1992;5.7
43;RS;1992;21.66
50;MS;1992;20.54
14;RR;1992;33.01
11;RO;1992;25.78
12;AC;1992;26.81
12;AC;1993;29.42
53;DF;1993;43.39
52;GO;1993;14.9
51;MT;1993;12.32
50;MS;1993;21
43;RS;1993;14.87
42;SC;1993;5.95
41;PR;1993;12.81
35;SP;1993;25.15
33;RJ;1993;62.14
32;ES;1993;38.25
31;MG;1993;6.19
28;SE;1993;28.19
29;BA;1993;18
27;AL;1993;19.7
26;PE;1993;52.65
25;PB;1993;10.45
24;RN;1993;11.37
23;CE;1993;9.04
22;PI;1993;2.59
21;MA;1993;5.09
17;TO;1993;4.46
16;AP;1993;29.59
15;PA;1993;12.64
14;RR;1993;20.95
13;AM;1993;15.11
11;RO;1993;33.52
11;RO;1994;24.5
53;DF;1994;45.47
52;GO;1994;17.69
51;MT;1994;8.2
50;MS;1994;25.22
43;RS;1994;16.98
42;SC;1994;5.14
41;PR;1994;14.14
35;SP;1994;28.44
33;RJ;1994;77.91
32;ES;1994;38.27
31;MG;1994;5.57
28;SE;1994;32.78
29;BA;1994;20.54
27;AL;1994;21.9
26;PE;1994;51.05
25;PB;1994;10.78
24;RN;1994;9.12
23;CE;1994;6.7
22;PI;1994;2.55
21;MA;1994;4.8
17;TO;1994;4.36
16;AP;1994;36.51
15;PA;1994;15.86
14;RR;1994;22.57
13;AM;1994;16.92
12;AC;1994;18.42
12;AC;1995;25.13
53;DF;1995;51.42
52;GO;1995;15.96
51;MT;1995;15.93
50;MS;1995;37.4
43;RS;1995;19.48
42;SC;1995;6.71
41;PR;1995;17.55
35;SP;1995;32.78
33;RJ;1995;99.14
32;ES;1995;43.58
31;MG;1995;7
28;SE;1995;39.69
29;BA;1995;17.08
27;AL;1995;26.39
26;PE;1995;53.34
25;PB;1995;14.27
24;RN;1995;8.98
23;CE;1995;10.49
22;PI;1995;3.72
21;MA;1995;5.75
17;TO;1995;5.37
16;AP;1995;36.63
15;PA;1995;13.09
14;RR;1995;33.71
13;AM;1995;17
11;RO;1995;19.64
53;DF;1996;45.11
12;AC;1996;19.46
13;AM;1996;18.38
14;RR;1996;30.27
15;PA;1996;10.77
16;AP;1996;46.1
17;TO;1996;7.53
21;MA;1996;6.06
22;PI;1996;2.65
23;CE;1996;10.32
24;RN;1996;9.62
25;PB;1996;16.15
26;PE;1996;60
27;AL;1996;30.56
29;BA;1996;23.4
28;SE;1996;37.85
31;MG;1996;7.25
32;ES;1996;43.83
33;RJ;1996;89.07
35;SP;1996;33.2
41;PR;1996;17.36
42;SC;1996;8.08
43;RS;1996;20.16
50;MS;1996;40.83
51;MT;1996;29.27
52;GO;1996;16.44
11;RO;1996;18.8
51;MT;1997;27.56
53;DF;1997;46.08
52;GO;1997;14.84
50;MS;1997;41.67
43;RS;1997;23.45
42;SC;1997;7.13
41;PR;1997;18.06
35;SP;1997;33.63
33;RJ;1997;95.2
32;ES;1997;64.5
31;MG;1997;8.23
28;SE;1997;40.34
29;BA;1997;22.97
27;AL;1997;25.4
26;PE;1997;83.11
25;PB;1997;17.96
24;RN;1997;12.23
23;CE;1997;13.21
22;PI;1997;2.5
21;MA;1997;4.81
17;TO;1997;8.25
16;AP;1997;24.98
15;PA;1997;12.73
14;RR;1997;30.73
13;AM;1997;16.76
12;AC;1997;24.84
11;RO;1997;24.55
11;RO;1998;37.02
53;DF;1998;50.39
52;GO;1998;15.2
51;MT;1998;36.47
12;AC;1998;22.19
13;AM;1998;18.34
14;RR;1998;40.43
15;PA;1998;14.18
16;AP;1998;33.09
17;TO;1998;9.27
21;MA;1998;4.56
22;PI;1998;3
23;CE;1998;13.08
24;RN;1998;11.27
25;PB;1998;17.73
26;PE;1998;102.94
27;AL;1998;24.63
29;BA;1998;12.34
50;MS;1998;37.12
43;RS;1998;21.83
42;SC;1998;6.88
41;PR;1998;19.75
35;SP;1998;38.77
33;RJ;1998;91.95
32;ES;1998;80.82
31;MG;1998;10.09
28;SE;1998;43.52
16;AP;1999;30.19
33;RJ;1999;92.09
32;ES;1999;79.04
31;MG;1999;8.58
28;SE;1999;48.31
29;BA;1999;8.26
27;AL;1999;25.66
26;PE;1999;99.6
25;PB;1999;14.72
24;RN;1999;7.79
23;CE;1999;13.47
22;PI;1999;4.27
21;MA;1999;2.91
17;TO;1999;11.44
15;PA;1999;10.13
14;RR;1999;43.31
13;AM;1999;17.65
12;AC;1999;3.81
11;RO;1999;33.34
53;DF;1999;48.27
52;GO;1999;19.87
51;MT;1999;30.58
50;MS;1999;29.41
43;RS;1999;23.57
42;SC;1999;5.5
41;PR;1999;22.03
35;SP;1999;48.86
32;ES;2000;62.9
41;PR;2000;23.43
33;RJ;2000;88.82
26;PE;2000;93.27
42;SC;2000;6.68
22;PI;2000;6.56
35;SP;2000;57.69
51;MT;2000;42.73
50;MS;2000;41.13
21;MA;2000;3.78
28;SE;2000;29.12
14;RR;2000;28.08
43;RS;2000;25.32
25;PB;2000;23.12
31;MG;2000;17.81
17;TO;2000;16.37
15;PA;2000;12.96
24;RN;2000;9.82
11;RO;2000;30.37
12;AC;2000;11.98
27;AL;2000;32.82
13;AM;2000;18.91
16;AP;2000;15.62
29;BA;2000;11.17
23;CE;2000;16.09
53;DF;2000;49.25
52;GO;2000;27.14
33;RJ;2001;89.87
41;PR;2001;27.41
43;RS;2001;27.23
52;GO;2001;27.59
25;PB;2001;21.07
12;AC;2001;20.01
14;RR;2001;19.29
31;MG;2001;18.68
29;BA;2001;17.08
17;TO;2001;16.78
23;CE;2001;15.86
15;PA;2001;14.81
13;AM;2001;13.83
16;AP;2001;13.21
24;RN;2001;13.14
26;PE;2001;102.64
50;MS;2001;31.25
11;RO;2001;36.75
51;MT;2001;36.98
28;SE;2001;41.48
27;AL;2001;42.97
53;DF;2001;52.85
21;MA;2001;6.89
35;SP;2001;61.62
32;ES;2001;65.46
22;PI;2001;7.43
42;SC;2001;8.84
43;RS;2002;28.44
42;SC;2002;10.62
24;RN;2002;11.32
17;TO;2002;11.74
13;AM;2002;12.63
16;AP;2002;17.09
14;RR;2002;18.6
29;BA;2002;18.64
15;PA;2002;18.72
23;CE;2002;19.09
12;AC;2002;21.73
25;PB;2002;22.26
31;MG;2002;24.09
50;MS;2002;32.9
52;GO;2002;33.62
41;PR;2002;34.26
51;MT;2002;35.53
11;RO;2002;41.06
28;SE;2002;44.14
53;DF;2002;48.94
35;SP;2002;56.14
21;MA;2002;6.44
22;PI;2002;7.38
32;ES;2002;80.49
26;PE;2002;94.23
33;RJ;2002;99.43
27;AL;2002;49.9
28;SE;2003;35.17
42;SC;2003;14.21
43;RS;2003;28.17
14;RR;2003;14.38
11;RO;2003;34.88
13;AM;2003;11.83
12;AC;2003;16.49
24;RN;2003;18.1
23;CE;2003;19.89
15;PA;2003;22.96
29;BA;2003;23.93
25;PB;2003;25.09
16;AP;2003;30.29
52;GO;2003;33.26
51;MT;2003;33.9
31;MG;2003;34.64
50;MS;2003;38.39
33;RJ;2003;94.06
26;PE;2003;94.65
53;DF;2003;54.76
27;AL;2003;53.93
32;ES;2003;73.06
22;PI;2003;9.23
21;MA;2003;9.63
41;PR;2003;39.4
17;TO;2003;12.55
35;SP;2003;56.68
35;SP;2004;43.67
17;TO;2004;12.3
42;SC;2004;12.85
14;RR;2004;13.05
24;RN;2004;15.38
25;PB;2004;24.49
15;PA;2004;26.09
28;SE;2004;28.96
51;MT;2004;29.25
43;RS;2004;31.05
50;MS;2004;34.28
11;RO;2004;37.58
31;MG;2004;40.8
41;PR;2004;43.58
22;PI;2004;8.77
26;PE;2004;86.91
33;RJ;2004;91.11
21;MA;2004;10.52
52;GO;2004;37.78
12;AC;2004;16.16
27;AL;2004;53.95
13;AM;2004;14.21
16;AP;2004;29.49
29;BA;2004;24.1
23;CE;2004;22.79
53;DF;2004;51.35
32;ES;2004;78.65
11;RO;2005;38.05
15;PA;2005;33.72
51;MT;2005;32.44
28;SE;2005;31.7
35;SP;2005;31.36
29;BA;2005;30.95
43;RS;2005;30.86
50;MS;2005;30.43
25;PB;2005;29.28
22;PI;2005;10.87
17;TO;2005;10.03
23;CE;2005;26.25
24;RN;2005;19.12
16;AP;2005;18.58
13;AM;2005;16.48
21;MA;2005;14.6
42;SC;2005;14.48
41;PR;2005;47.66
27;AL;2005;59.8
14;RR;2005;6.74
32;ES;2005;74.34
33;RJ;2005;89.71
12;AC;2005;9.2
26;PE;2005;91.29
53;DF;2005;44.8
52;GO;2005;38.44
31;MG;2005;38.4
51;MT;2006;34.12
35;SP;2006;30.12
28;SE;2006;41.22
43;RS;2006;28.95
32;ES;2006;79.99
27;AL;2006;91.2
26;PE;2006;90.33
41;PR;2006;49.53
53;DF;2006;42.67
11;RO;2006;40.47
31;MG;2006;37.34
52;GO;2006;36.97
29;BA;2006;36.58
15;PA;2006;36.16
25;PB;2006;35.03
50;MS;2006;33.16
23;CE;2006;27.13
16;AP;2006;26.87
13;AM;2006;23.79
24;RN;2006;19.56
14;RR;2006;14.71
42;SC;2006;13.95
21;MA;2006;13.4
17;TO;2006;12.67
22;PI;2006;12.57
12;AC;2006;11.55
33;RJ;2006;86
23;CE;2007;31.68
13;AM;2007;26.1
27;AL;2007;105.97
12;AC;2007;14.8
16;AP;2007;21.37
35;SP;2007;20.78
21;MA;2007;18.34
42;SC;2007;14.16
22;PI;2007;11.18
26;PE;2007;93.6
14;RR;2007;9.52
32;ES;2007;83.2
17;TO;2007;8.26
33;RJ;2007;76.36
25;PB;2007;34.84
41;PR;2007;52.53
53;DF;2007;48.72
29;BA;2007;41.52
15;PA;2007;39.7
52;GO;2007;39.1
31;MG;2007;35.86
28;SE;2007;35.5
24;RN;2007;27.57
51;MT;2007;29.7
11;RO;2007;34.65
43;RS;2007;34.45
50;MS;2007;33.86
15;PA;2008;52.9
16;AP;2008;23.96
21;MA;2008;21.11
12;AC;2008;13.1
27;AL;2008;112.39
32;ES;2008;94.38
22;PI;2008;9.83
