cod;nome;período;valor
53;DF;1989;0.63
28;SE;1989;0.69
29;BA;1989;0.39
31;MG;1989;0.6
32;ES;1989;2.32
33;RJ;1989;2.58
35;SP;1989;1
41;PR;1989;0.93
42;SC;1989;0.68
26;PE;1989;2.53
27;AL;1989;1.7
43;RS;1989;0.9
50;MS;1989;2.37
51;MT;1989;0.89
52;GO;1989;2.29
11;RO;1989;5.11
12;AC;1989;1.53
13;AM;1989;0.91
14;RR;1989;0
15;PA;1989;1.21
25;PB;1989;1.3
16;AP;1989;0.74
17;TO;1989;1.38
21;MA;1989;0.41
22;PI;1989;0.54
23;CE;1989;0.4
24;RN;1989;0.25
28;SE;1990;0.81
53;DF;1990;2.34
52;GO;1990;1.48
51;MT;1990;1.71
50;MS;1990;1.86
43;RS;1990;1.77
42;SC;1990;0.76
41;PR;1990;1.19
35;SP;1990;1.18
33;RJ;1990;4.76
32;ES;1990;2.9
31;MG;1990;0.63
29;BA;1990;0.52
11;RO;1990;2.71
12;AC;1990;1.99
13;AM;1990;1.38
14;RR;1990;1.09
15;PA;1990;1.47
16;AP;1990;1.44
17;TO;1990;0.9
21;MA;1990;0.57
22;PI;1990;0.07
23;CE;1990;0.71
24;RN;1990;0.74
25;PB;1990;1.1
26;PE;1990;3.05
27;AL;1990;0.95
53;DF;1991;2.76
23;CE;1991;0.45
22;PI;1991;0.22
21;MA;1991;0.84
17;TO;1991;0.66
16;AP;1991;1.38
15;PA;1991;1.71
14;RR;1991;3.08
13;AM;1991;1.05
12;AC;1991;3.39
11;RO;1991;3.11
25;PB;1991;1.32
26;PE;1991;3.39
27;AL;1991;1.4
28;SE;1991;1.05
29;BA;1991;0.33
31;MG;1991;0.54
32;ES;1991;2.45
33;RJ;1991;3.54
35;SP;1991;1.41
41;PR;1991;1.22
42;SC;1991;0.75
43;RS;1991;1.85
50;MS;1991;2.72
51;MT;1991;2.65
52;GO;1991;2.19
24;RN;1991;0.48
25;PB;1992;1.44
53;DF;1992;1.87
52;GO;1992;2.73
51;MT;1992;1.1
50;MS;1992;3.23
43;RS;1992;2.15
42;SC;1992;0.43
41;PR;1992;1.09
35;SP;1992;0.99
33;RJ;1992;3.27
32;ES;1992;2.34
31;MG;1992;0.63
29;BA;1992;0.42
28;SE;1992;0.9
27;AL;1992;1.31
26;PE;1992;2.5
24;RN;1992;0.72
23;CE;1992;0.42
22;PI;1992;0.15
21;MA;1992;0.59
17;TO;1992;0.65
16;AP;1992;1.97
15;PA;1992;1.24
14;RR;1992;4.92
13;AM;1992;0.65
12;AC;1992;3.3
11;RO;1992;2.5
16;AP;1993;1.29
17;TO;1993;0.63
21;MA;1993;0.38
22;PI;1993;0.29
23;CE;1993;0.62
11;RO;1993;4
12;AC;1993;2.31
13;AM;1993;0.9
14;RR;1993;2.78
15;PA;1993;0.77
24;RN;1993;1.09
53;DF;1993;3.1
52;GO;1993;2.25
51;MT;1993;1.05
50;MS;1993;1.96
43;RS;1993;1.05
42;SC;1993;0.51
41;PR;1993;1.22
35;SP;1993;1.4
33;RJ;1993;3.78
32;ES;1993;2.44
31;MG;1993;0.83
29;BA;1993;0.86
28;SE;1993;1.26
27;AL;1993;2.17
26;PE;1993;3.12
25;PB;1993;0.76
25;PB;1994;0.93
53;DF;1994;3.72
52;GO;1994;1.93
51;MT;1994;0.64
50;MS;1994;2.03
43;RS;1994;1.45
42;SC;1994;0.37
41;PR;1994;1.33
35;SP;1994;1.54
33;RJ;1994;5.04
32;ES;1994;3.34
31;MG;1994;0.6
29;BA;1994;1.39
28;SE;1994;2.61
27;AL;1994;1.77
26;PE;1994;2.96
24;RN;1994;0.46
23;CE;1994;0.61
22;PI;1994;0.07
21;MA;1994;0.23
17;TO;1994;1.03
16;AP;1994;2.52
15;PA;1994;1.36
14;RR;1994;1.77
13;AM;1994;1.15
12;AC;1994;2.26
11;RO;1994;2.73
24;RN;1995;1.13
11;RO;1995;1.85
12;AC;1995;4
13;AM;1995;1.21
14;RR;1995;0.85
15;PA;1995;0.92
16;AP;1995;1.84
17;TO;1995;0.61
21;MA;1995;0.37
22;PI;1995;0.5
23;CE;1995;0.52
53;DF;1995;2.98
52;GO;1995;2.83
51;MT;1995;2.24
50;MS;1995;2.32
43;RS;1995;1.82
42;SC;1995;0.87
41;PR;1995;1.8
35;SP;1995;2.15
33;RJ;1995;5.92
32;ES;1995;3.79
31;MG;1995;0.55
29;BA;1995;1.23
28;SE;1995;1.22
27;AL;1995;2.76
26;PE;1995;3.32
25;PB;1995;1.67
31;MG;1996;1.03
23;CE;1996;0.83
22;PI;1996;0.14
21;MA;1996;0.45
17;TO;1996;1.17
16;AP;1996;4.77
15;PA;1996;1.14
14;RR;1996;4.17
13;AM;1996;1.34
12;AC;1996;2.09
11;RO;1996;4.02
32;ES;1996;4.47
33;RJ;1996;6.15
35;SP;1996;1.98
41;PR;1996;1.61
42;SC;1996;1.06
43;RS;1996;2.26
50;MS;1996;5.1
51;MT;1996;3.51
52;GO;1996;2.92
53;DF;1996;3.37
25;PB;1996;2.4
26;PE;1996;3.92
27;AL;1996;3.18
28;SE;1996;1.69
29;BA;1996;1.88
24;RN;1996;0.91
32;ES;1997;4.67
43;RS;1997;2.37
42;SC;1997;0.8
41;PR;1997;1.39
35;SP;1997;2.29
33;RJ;1997;5.79
31;MG;1997;0.84
29;BA;1997;1.52
28;SE;1997;0.95
27;AL;1997;3.15
26;PE;1997;3.75
25;PB;1997;1.56
24;RN;1997;1.05
23;CE;1997;0.87
22;PI;1997;0.29
21;MA;1997;0.71
17;TO;1997;0.75
16;AP;1997;3
15;PA;1997;1.29
14;RR;1997;2.43
13;AM;1997;1.06
12;AC;1997;2.42
11;RO;1997;3.28
53;DF;1997;3.07
52;GO;1997;1.81
51;MT;1997;3.25
50;MS;1997;3.88
17;TO;1998;2.4
16;AP;1998;3.34
15;PA;1998;1.01
14;RR;1998;5.54
13;AM;1998;1.75
12;AC;1998;1.96
11;RO;1998;3.39
50;MS;1998;4.12
51;MT;1998;4.08
52;GO;1998;1.51
42;SC;1998;1.07
53;DF;1998;3.49
33;RJ;1998;5.6
43;RS;1998;1.99
41;PR;1998;1.45
35;SP;1998;2.13
32;ES;1998;6.38
31;MG;1998;0.89
29;BA;1998;0.58
28;SE;1998;0.7
27;AL;1998;2.03
26;PE;1998;5.03
25;PB;1998;1.38
24;RN;1998;0.67
23;CE;1998;0.72
22;PI;1998;0.28
21;MA;1998;0.33
52;GO;1999;2.47
11;RO;1999;3.66
12;AC;1999;0.76
13;AM;1999;1.47
14;RR;1999;4.63
15;PA;1999;0.62
16;AP;1999;2.28
17;TO;1999;1.08
21;MA;1999;0.25
22;PI;1999;0.07
23;CE;1999;0.85
24;RN;1999;1.1
25;PB;1999;1.09
26;PE;1999;5.25
27;AL;1999;2.08
28;SE;1999;2.4
29;BA;1999;0.47
31;MG;1999;0.84
32;ES;1999;5.41
33;RJ;1999;5.3
35;SP;1999;2.47
41;PR;1999;1.71
42;SC;1999;0.74
43;RS;1999;1.77
50;MS;1999;3.56
51;MT;1999;3.04
53;DF;1999;3.31
35;SP;2000;3.11
17;TO;2000;1.38
41;PR;2000;1.54
43;RS;2000;1.72
25;PB;2000;1.76
51;MT;2000;3.44
50;MS;2000;3.85
52;GO;2000;2.75
32;ES;2000;3.93
53;DF;2000;2.11
26;PE;2000;5.06
33;RJ;2000;4.9
11;RO;2000;2.62
27;AL;2000;2.24
14;RR;2000;2.46
28;SE;2000;1.93
22;PI;2000;0.13
21;MA;2000;0.41
24;RN;2000;0.62
15;PA;2000;0.76
16;AP;2000;0.81
29;BA;2000;0.87
13;AM;2000;0.91
42;SC;2000;0.94
31;MG;2000;1.26
12;AC;2000;1.38
23;CE;2000;1.38
35;SP;2001;3.17
25;PB;2001;1.25
26;PE;2001;4.57
22;PI;2001;0.47
