cod;nome;período;valor
25;PB;1989;27.1
15;PA;1989;26.1
14;RR;1989;94.4
13;AM;1989;28.9
12;AC;1989;44.2
11;RO;1989;84.2
16;AP;1989;26.7
17;TO;1989;10.8
21;MA;1989;16.2
22;PI;1989;10.2
23;CE;1989;18.7
24;RN;1989;19.6
26;PE;1989;70.9
27;AL;1989;62.6
28;SE;1989;17.7
29;BA;1989;17.7
31;MG;1989;13.8
32;ES;1989;61.2
33;RJ;1989;65.7
35;SP;1989;56.5
41;PR;1989;24.2
42;SC;1989;14.4
43;RS;1989;32.4
50;MS;1989;38.2
51;MT;1989;45.6
52;GO;1989;37
53;DF;1989;42
53;DF;1990;56.45
11;RO;1990;93.28
12;AC;1990;28.15
13;AM;1990;32.31
14;RR;1990;95.08
15;PA;1990;27.58
16;AP;1990;28.66
17;TO;1990;10.18
21;MA;1990;17.07
22;PI;1990;8.38
23;CE;1990;16.78
24;RN;1990;15.6
33;RJ;1990;108.19
25;PB;1990;26.15
26;PE;1990;74.26
27;AL;1990;55.1
28;SE;1990;19.34
29;BA;1990;13.62
31;MG;1990;13.38
32;ES;1990;62.27
35;SP;1990;57.64
41;PR;1990;24.95
42;SC;1990;15.28
43;RS;1990;34.9
50;MS;1990;34.77
51;MT;1990;37.43
52;GO;1990;31.42
50;MS;1991;37.6
53;DF;1991;56.86
52;GO;1991;36.76
51;MT;1991;38.41
43;RS;1991;34.21
42;SC;1991;13.93
41;PR;1991;25.5
35;SP;1991;56.97
33;RJ;1991;75.63
32;ES;1991;67.2
31;MG;1991;13.72
29;BA;1991;9.01
28;SE;1991;39.29
27;AL;1991;48.03
26;PE;1991;78.6
25;PB;1991;23.34
24;RN;1991;17.14
23;CE;1991;17.93
22;PI;1991;7.29
21;MA;1991;17
17;TO;1991;17.63
16;AP;1991;33.75
15;PA;1991;29.45
14;RR;1991;58.24
13;AM;1991;36.2
12;AC;1991;45.85
11;RO;1991;77.58
42;SC;1992;13.49
32;ES;1992;57.13
43;RS;1992;31.03
17;TO;1992;12.4
16;AP;1992;44.87
15;PA;1992;27.44
50;MS;1992;40.07
21;MA;1992;15.97
22;PI;1992;6.45
23;CE;1992;15.74
24;RN;1992;15.44
25;PB;1992;20.5
26;PE;1992;67.84
27;AL;1992;43.42
28;SE;1992;56.59
29;BA;1992;12.81
31;MG;1992;12.33
52;GO;1992;34.15
53;DF;1992;48.75
51;MT;1992;29.62
14;RR;1992;70.78
13;AM;1992;29.56
12;AC;1992;43.2
11;RO;1992;60.75
33;RJ;1992;67.69
35;SP;1992;53.53
41;PR;1992;22.82
28;SE;1993;37.65
51;MT;1993;29.03
52;GO;1993;30.41
53;DF;1993;62.63
50;MS;1993;44.23
43;RS;1993;23.08
42;SC;1993;14.32
41;PR;1993;25.71
35;SP;1993;52.56
33;RJ;1993;78.88
32;ES;1993;73.91
31;MG;1993;12.85
29;BA;1993;22.51
27;AL;1993;44.72
26;PE;1993;72.17
25;PB;1993;21.31
24;RN;1993;18.18
23;CE;1993;20.14
22;PI;1993;8.02
21;MA;1993;14.22
17;TO;1993;16.29
16;AP;1993;39.38
15;PA;1993;21.97
14;RR;1993;47.29
13;AM;1993;28.26
12;AC;1993;45.57
11;RO;1993;68.27
53;DF;1994;61.67
12;AC;1994;34.04
13;AM;1994;31.37
14;RR;1994;51.75
15;PA;1994;24.46
16;AP;1994;68.42
17;TO;1994;18.71
21;MA;1994;11.29
22;PI;1994;6.77
23;CE;1994;17.8
24;RN;1994;15.39
25;PB;1994;22.16
26;PE;1994;67.38
27;AL;1994;43.88
28;SE;1994;39.72
29;BA;1994;25.21
31;MG;1994;11.63
32;ES;1994;76.94
33;RJ;1994;93.12
35;SP;1994;56
41;PR;1994;26.24
42;SC;1994;12.6
43;RS;1994;25.65
50;MS;1994;49.69
51;MT;1994;25.45
52;GO;1994;32.03
11;RO;1994;53.84
53;DF;1995;68.57
11;RO;1995;42.09
12;AC;1995;37.29
13;AM;1995;32.74
14;RR;1995;54.53
15;PA;1995;23.35
16;AP;1995;69.06
17;TO;1995;13.95
21;MA;1995;13.25
22;PI;1995;7.14
33;RJ;1995;118.75
41;PR;1995;28.2
42;SC;1995;15.35
43;RS;1995;27.33
50;MS;1995;60.28
52;GO;1995;30.18
51;MT;1995;43.08
25;PB;1995;24.24
26;PE;1995;69.47
27;AL;1995;51.84
28;SE;1995;28.88
29;BA;1995;21.79
31;MG;1995;12.92
32;ES;1995;74.16
35;SP;1995;63.6
24;RN;1995;17.23
23;CE;1995;24.25
27;AL;1996;51.45
32;ES;1996;75.41
35;SP;1996;67.77
41;PR;1996;28.44
42;SC;1996;14.14
43;RS;1996;27.33
50;MS;1996;65.73
51;MT;1996;47.47
52;GO;1996;30.51
53;DF;1996;66.64
31;MG;1996;13.12
28;SE;1996;26.5
11;RO;1996;60.89
12;AC;1996;57.79
13;AM;1996;47.43
14;RR;1996;98.55
29;BA;1996;27.09
15;PA;1996;41.98
16;AP;1996;97.69
17;TO;1996;20.39
33;RJ;1996;114.63
21;MA;1996;12.55
22;PI;1996;7.62
23;CE;1996;24.1
24;RN;1996;16.27
25;PB;1996;32.59
26;PE;1996;76.17
14;RR;1997;106.81
26;PE;1997;118.94
33;RJ;1997;133.11
53;DF;1997;76.15
52;GO;1997;34.12
51;MT;1997;72.69
50;MS;1997;81.75
43;RS;1997;37.47
42;SC;1997;18.86
41;PR;1997;39.69
35;SP;1997;81.61
32;ES;1997;115.6
31;MG;1997;16.89
29;BA;1997;35.04
28;SE;1997;26.69
27;AL;1997;58.14
25;PB;1997;35.01
24;RN;1997;20.65
23;CE;1997;36.01
22;PI;1997;12.23
21;MA;1997;13.58
17;TO;1997;21.57
16;AP;1997;91.02
15;PA;1997;57.05
13;AM;1997;60.58
12;AC;1997;65.76
11;RO;1997;104.89
29;BA;1998;18.36
53;DF;1998;63.16
52;GO;1998;26.09
51;MT;1998;62.33
50;MS;1998;59.97
43;RS;1998;27.77
42;SC;1998;13.8
41;PR;1998;31.4
11;RO;1998;112.77
12;AC;1998;58.84
13;AM;1998;52.74
14;RR;1998;127.66
15;PA;1998;46.13
16;AP;1998;80.36
17;TO;1998;19.48
21;MA;1998;9.25
22;PI;1998;9.07
23;CE;1998;25.68
24;RN;1998;15.93
25;PB;1998;25.79
26;PE;1998;113.9
35;SP;1998;74.54
33;RJ;1998;107.58
32;ES;1998;102.55
31;MG;1998;15.49
28;SE;1998;19.64
27;AL;1998;41.13
25;PB;1999;22.37
11;RO;1999;69.9
12;AC;1999;18.88
13;AM;1999;40.1
14;RR;1999;102.91
15;PA;1999;25.04
16;AP;1999;79.75
17;TO;1999;20.57
21;MA;1999;8.35
22;PI;1999;9.22
23;CE;1999;28.07
24;RN;1999;14.97
26;PE;1999;103.87
27;AL;1999;36.47
28;SE;1999;33.34
29;BA;1999;12.52
31;MG;1999;15.69
32;ES;1999;90.8
33;RJ;1999;97.71
35;SP;1999;81.17
41;PR;1999;32.32
42;SC;1999;12.78
43;RS;1999;27.7
50;MS;1999;49.19
51;MT;1999;59.85
52;GO;1999;29.89
53;DF;1999;61.7
15;PA;2000;22.74
11;RO;2000;57.92
28;SE;2000;41.32
53;DF;2000;63.04
52;GO;2000;36.94
51;MT;2000;68.49
50;MS;2000;53.76
43;RS;2000;29.5
42;SC;2000;13.87
41;PR;2000;33.73
35;SP;2000;77.23
33;RJ;2000;94.41
16;AP;2000;59.68
17;TO;2000;26.14
21;MA;2000;11
22;PI;2000;15.04
23;CE;2000;30.18
24;RN;2000;16.75
25;PB;2000;27.35
26;PE;2000;100.3
27;AL;2000;46.34
29;BA;2000;16.35
31;MG;2000;20.52
32;ES;2000;82.4
12;AC;2000;31.04
13;AM;2000;35.41
14;RR;2000;61.86
53;DF;2001;62.47
11;RO;2001;68.85
12;AC;2001;35.54
13;AM;2001;28.78
14;RR;2001;55.54
23;CE;2001;30.75
24;RN;2001;20.82
25;PB;2001;25.67
27;AL;2001;53.47
28;SE;2001;53.02
29;BA;2001;21.9
31;MG;2001;23.18
32;ES;2001;80.99
33;RJ;2001;93.13
35;SP;2001;77.45
41;PR;2001;38.04
42;SC;2001;14.99
43;RS;2001;32.81
50;MS;2001;50.84
51;MT;2001;65.08
52;GO;2001;39.77
26;PE;2001;109.92
22;PI;2001;15.7
21;MA;2001;17.26
17;TO;2001;30.27
16;AP;2001;64.26
15;PA;2001;26.07
26;PE;2002;101.59
28;SE;2002;55.58
27;AL;2002;62.75
25;PB;2002;31.9
24;RN;2002;19.05
23;CE;2002;34.2
22;PI;2002;19.16
21;MA;2002;18.98
17;TO;2002;23.56
16;AP;2002;61.61
15;PA;2002;32.93
14;RR;2002;58.21
29;BA;2002;23.62
13;AM;2002;31.21
12;AC;2002;44.6
11;RO;2002;75.68
33;RJ;2002;105.66
53;DF;2002;55.92
52;GO;2002;46.07
51;MT;2002;62.16
50;MS;2002;54.51
43;RS;2002;33.3
42;SC;2002;18.06
41;PR;2002;41.85
35;SP;2002;70.24
32;ES;2002;90.38
31;MG;2002;29.13
32;ES;2003;88.65
31;MG;2003;37.26
29;BA;2003;28.85
28;SE;2003;45.85
27;AL;2003;65.45
25;PB;2003;33.2
24;RN;2003;25.36
23;CE;2003;37.32
22;PI;2003;18.01
21;MA;2003;23.98
17;TO;2003;28.06
16;AP;2003;59.86
15;PA;2003;37.86
14;RR;2003;51.04
13;AM;2003;33.34
12;AC;2003;41.1
26;PE;2003;103.61
11;RO;2003;67.15
53;DF;2003;63.01
52;GO;2003;44.23
33;RJ;2003;102.46
51;MT;2003;58.35
50;MS;2003;56.74
43;RS;2003;33.36
42;SC;2003;20.93
41;PR;2003;46.71
35;SP;2003;67.05
27;AL;2004;63.93
25;PB;2004;34.7
24;RN;2004;21.64
23;CE;2004;36.82
22;PI;2004;20.26
21;MA;2004;22.14
17;TO;2004;27.26
16;AP;2004;53.48
15;PA;2004;40.43
14;RR;2004;38.49
13;AM;2004;29.7
12;AC;2004;31.66
11;RO;2004;67.93
53;DF;2004;58.58
52;GO;2004;49.71
51;MT;2004;52.87
50;MS;2004;52.45
43;RS;2004;34.18
42;SC;2004;19.21
41;PR;2004;51.13
35;SP;2004;53.32
29;BA;2004;29.3
31;MG;2004;41.3
32;ES;2004;87.08
33;RJ;2004;96.81
28;SE;2004;44.02
26;PE;2004;94.24
24;RN;2005;24.05
53;DF;2005;54.61
52;GO;2005;47.23
51;MT;2005;56.19
