cod;nome;período;valor
12;AC;2000;61.12
27;AL;2000;11.95
13;AM;2000;8.27
16;AP;2000;11.86
29;BA;2000;3.21
33;RJ;2000;31.04
41;PR;2000;18.15
26;PE;2000;19.43
15;PA;2000;9.61
51;MT;2000;36.39
50;MS;2000;26.16
21;MA;2000;4.6
52;GO;2000;14.8
42;SC;2000;6.53
32;ES;2000;17.12
53;DF;2000;10.58
23;CE;2000;8.59
17;TO;2000;18.84
43;RS;2000;14.75
14;RR;2000;63.89
11;RO;2000;35.98
35;SP;2000;31.2
28;SE;2000;15.3
24;RN;2000;6.5
22;PI;2000;6.28
25;PB;2000;4.04
31;MG;2000;6.73
31;MG;2001;7.92
21;MA;2001;7.14
53;DF;2001;9.47
23;CE;2001;7.04
29;BA;2001;4.87
12;AC;2001;39.82
27;AL;2001;13.95
13;AM;2001;10.13
16;AP;2001;16.38
32;ES;2001;16.98
52;GO;2001;16.15
50;MS;2001;25.97
51;MT;2001;33.24
15;PA;2001;10.14
25;PB;2001;4.41
26;PE;2001;18.6
22;PI;2001;6.55
41;PR;2001;21.23
33;RJ;2001;28.57
24;RN;2001;6.18
11;RO;2001;58.82
14;RR;2001;51.87
43;RS;2001;16.02
42;SC;2001;6.91
28;SE;2001;17.73
35;SP;2001;31.01
17;TO;2001;22.31
51;MT;2002;31.76
17;TO;2002;14.64
35;SP;2002;28.61
28;SE;2002;13.12
42;SC;2002;8.9
43;RS;2002;16.72
14;RR;2002;65.29
11;RO;2002;59.99
24;RN;2002;5.8
33;RJ;2002;31.71
41;PR;2002;23.44
22;PI;2002;6.91
26;PE;2002;17.3
25;PB;2002;3.86
15;PA;2002;11.17
12;AC;2002;47.07
27;AL;2002;13.38
13;AM;2002;10.34
16;AP;2002;14.89
29;BA;2002;4.73
23;CE;2002;5.52
53;DF;2002;9.23
32;ES;2002;17.78
52;GO;2002;18
21;MA;2002;6.7
31;MG;2002;9.34
50;MS;2002;28.58
27;AL;2003;7.44
12;AC;2003;43.53
16;AP;2003;10.77
53;DF;2003;10.33
32;ES;2003;22.01
52;GO;2003;15.15
31;MG;2003;12.26
50;MS;2003;28.93
51;MT;2003;32.22
15;PA;2003;14.05
26;PE;2003;18.46
41;PR;2003;27.11
33;RJ;2003;31.32
24;RN;2003;10.33
14;RR;2003;38.61
28;SE;2003;10.57
35;SP;2003;27.58
13;AM;2003;8.12
29;BA;2003;5.35
23;CE;2003;6.52
21;MA;2003;8.6
25;PB;2003;3.7
22;PI;2003;5.38
11;RO;2003;51.6
43;RS;2003;16.3
42;SC;2003;9.46
17;TO;2003;13.6
29;BA;2004;5.22
43;RS;2004;16.44
14;RR;2004;19.65
11;RO;2004;32.44
24;RN;2004;6.39
33;RJ;2004;29.57
41;PR;2004;28.75
22;PI;2004;7.6
26;PE;2004;14.63
25;PB;2004;3.28
15;PA;2004;11.02
51;MT;2004;26.66
50;MS;2004;25.38
31;MG;2004;12.7
21;MA;2004;6.27
23;CE;2004;5.39
53;DF;2004;10.37
32;ES;2004;16.69
12;AC;2004;24.74
42;SC;2004;9.24
52;GO;2004;20.67
17;TO;2004;15.53
35;SP;2004;22.12
28;SE;2004;7.41
27;AL;2004;5.47
13;AM;2004;10.27
16;AP;2004;8.13
31;MG;2005;12.76
53;DF;2005;8.84
12;AC;2005;22.83
27;AL;2005;7.87
13;AM;2005;11.73
16;AP;2005;18.23
29;BA;2005;5.77
23;CE;2005;5.62
32;ES;2005;16.89
52;GO;2005;17.04
21;MA;2005;9.61
50;MS;2005;23.2
51;MT;2005;26.98
15;PA;2005;11.42
25;PB;2005;3.82
26;PE;2005;14.68
22;PI;2005;7.53
41;PR;2005;29.53
33;RJ;2005;29.74
24;RN;2005;7.28
11;RO;2005;29.01
14;RR;2005;23.89
43;RS;2005;17.07
42;SC;2005;8.97
28;SE;2005;11.61
35;SP;2005;17.67
17;TO;2005;12.37
50;MS;2006;24.71
12;AC;2006;28.58
27;AL;2006;7.36
13;AM;2006;15.18
16;AP;2006;10.62
29;BA;2006;6.89
23;CE;2006;6.13
53;DF;2006;7.55
32;ES;2006;16.52
52;GO;2006;15.81
21;MA;2006;10.09
31;MG;2006;13.63
51;MT;2006;24.5
15;PA;2006;10.1
26;PE;2006;12.74
22;PI;2006;7.57
41;PR;2006;32.41
33;RJ;2006;29.16
24;RN;2006;7.76
11;RO;2006;25.74
14;RR;2006;54.57
43;RS;2006;17.28
42;SC;2006;9.53
25;PB;2006;3.41
28;SE;2006;12.86
35;SP;2006;16.56
17;TO;2006;11.97
28;SE;2007;11.06
35;SP;2007;12.73
12;AC;2007;21.52
27;AL;2007;9.2
13;AM;2007;5.99
16;AP;2007;12.46
23;CE;2007;7.74
53;DF;2007;9.96
32;ES;2007;17.27
52;GO;2007;17.03
21;MA;2007;10.32
31;MG;2007;12.74
17;TO;2007;9.07
29;BA;2007;8.51
50;MS;2007;26.76
51;MT;2007;26.82
15;PA;2007;11.21
25;PB;2007;2.96
26;PE;2007;8.77
22;PI;2007;8.95
41;PR;2007;31.88
33;RJ;2007;24.64
24;RN;2007;8.86
11;RO;2007;19.68
14;RR;2007;32.01
43;RS;2007;18.65
42;SC;2007;9.47
51;MT;2008;21.27
24;RN;2008;9.26
22;PI;2008;7.87
12;AC;2008;16.54
27;AL;2008;6.98
13;AM;2008;6.62
16;AP;2008;5.71
29;BA;2008;11.33
23;CE;2008;7.19
53;DF;2008;9.74
32;ES;2008;15.89
52;GO;2008;17.28
21;MA;2008;10.02
31;MG;2008;11.66
50;MS;2008;26.78
15;PA;2008;13.73
26;PE;2008;13.28
41;PR;2008;33.98
33;RJ;2008;21.16
11;RO;2008;24.28
14;RR;2008;33.19
43;RS;2008;20.32
42;SC;2008;12.28
28;SE;2008;10.07
35;SP;2008;13.07
17;TO;2008;12.82
25;PB;2008;3.58
23;CE;2009;7.54
53;DF;2009;10.88
12;AC;2009;10.06
32;ES;2009;15.62
52;GO;2009;17.37
21;MA;2009;11.1
31;MG;2009;11.76
50;MS;2009;26.22
51;MT;2009;22.15
15;PA;2009;13.03
25;PB;2009;3.71
26;PE;2009;11.76
22;PI;2009;8.24
41;PR;2009;37.87
33;RJ;2009;19.31
24;RN;2009;12.4
11;RO;2009;26.82
14;RR;2009;36.02
43;RS;2009;19.1
42;SC;2009;12.51
13;AM;2009;6.83
28;SE;2009;11
35;SP;2009;13.28
17;TO;2009;16.36
16;AP;2009;6.92
29;BA;2009;9.83
27;AL;2009;6.54
11;RO;2010;25.46
12;AC;2010;16.56
27;AL;2010;6.2
13;AM;2010;10.26
16;AP;2010;18.39
53;DF;2010;8.74
29;BA;2010;11.29
23;CE;2010;11.08
32;ES;2010;16.21
52;GO;2010;16.02
21;MA;2010;10.51
31;MG;2010;10.15
50;MS;2010;21.68
51;MT;2010;22
