cod;nome;período;valor
21;MA;1980;0.72
50;MS;1980;8.61
26;PE;1980;9.97
11;RO;1980;13.64
33;RJ;1980;18.53
14;RR;1980;0
17;TO;1980;0
22;PI;1980;0.28
16;AP;1980;1.14
29;BA;1980;1.47
53;DF;1980;1.78
51;MT;1980;1.93
28;SE;1980;2.63
35;SP;1980;2.79
43;RS;1980;2.92
23;CE;1980;3
13;AM;1980;3.21
42;SC;1980;3.28
31;MG;1980;3.48
12;AC;1980;3.98
24;RN;1980;4.05
25;PB;1980;4.58
41;PR;1980;4.81
15;PA;1980;4.96
52;GO;1980;5.85
32;ES;1980;6.03
27;AL;1980;7.46
14;RR;1981;2.23
16;AP;1981;2.17
21;MA;1981;1.33
29;BA;1981;1.29
22;PI;1981;1.06
42;SC;1981;2.84
31;MG;1981;2.76
13;AM;1981;3.51
23;CE;1981;3.48
51;MT;1981;3.15
28;SE;1981;3.08
43;RS;1981;3.01
17;TO;1981;0
33;RJ;1981;15.55
11;RO;1981;12.39
26;PE;1981;12.19
50;MS;1981;10.49
27;AL;1981;9.39
52;GO;1981;8.4
53;DF;1981;6.7
32;ES;1981;6.29
41;PR;1981;5.86
15;PA;1981;4.85
25;PB;1981;4.74
24;RN;1981;4.13
35;SP;1981;3.75
12;AC;1981;2.58
15;PA;1982;4.79
24;RN;1982;5.43
12;AC;1982;5.6
41;PR;1982;6.28
52;GO;1982;6.9
53;DF;1982;8.08
27;AL;1982;8.92
50;MS;1982;10.69
26;PE;1982;12.48
11;RO;1982;13.14
33;RJ;1982;13.63
17;TO;1982;0
14;RR;1982;0.97
22;PI;1982;1.26
21;MA;1982;1.49
51;MT;1982;1.85
29;BA;1982;2.13
42;SC;1982;2.27
31;MG;1982;2.51
23;CE;1982;2.72
28;SE;1982;2.83
43;RS;1982;3.19
35;SP;1982;3.53
13;AM;1982;3.75
25;PB;1982;3.93
16;AP;1982;4.1
32;ES;1982;5.37
13;AM;1983;3.73
23;CE;1983;3.89
25;PB;1983;4.16
24;RN;1983;4.32
53;DF;1983;7.21
33;RJ;1983;7.35
50;MS;1983;9.26
11;RO;1983;9.67
27;AL;1983;12.57
26;PE;1983;15.07
17;TO;1983;0
35;SP;1983;4.92
32;ES;1983;5.42
16;AP;1983;5.84
15;PA;1983;6.29
41;PR;1983;7.01
52;GO;1983;7.11
21;MA;1983;1.32
29;BA;1983;1.53
22;PI;1983;1.64
12;AC;1983;3.61
14;RR;1983;1.72
31;MG;1983;2.42
43;RS;1983;3.11
42;SC;1983;3.13
28;SE;1983;3.4
51;MT;1983;3.71
22;PI;1984;1.57
17;TO;1984;0
14;RR;1984;0
26;PE;1984;17.76
11;RO;1984;14.68
27;AL;1984;13.98
50;MS;1984;11.66
33;RJ;1984;11.11
15;PA;1984;7.47
52;GO;1984;7
35;SP;1984;6.8
32;ES;1984;6.77
41;PR;1984;5.97
53;DF;1984;5.57
16;AP;1984;5.55
25;PB;1984;5.02
13;AM;1984;4.96
51;MT;1984;4.66
12;AC;1984;3.79
23;CE;1984;3.45
24;RN;1984;3.21
43;RS;1984;3.12
31;MG;1984;3.07
42;SC;1984;3.03
29;BA;1984;2.4
21;MA;1984;1.94
28;SE;1984;1.82
14;RR;1985;2.11
29;BA;1985;2.4
28;SE;1985;2.53
43;RS;1985;2.6
42;SC;1985;2.86
24;RN;1985;3.18
25;PB;1985;4.72
13;AM;1985;4.89
41;PR;1985;5.49
52;GO;1985;5.98
31;MG;1985;2.64
23;CE;1985;2.82
15;PA;1985;6.45
22;PI;1985;0.98
17;TO;1985;0
11;RO;1985;22.23
