Regiao;UF;Ano;Tipo_homicidio;Qtd_homicidio;Taxa_homicidio
Norte;AC;1979;homicidios_de_jovens_homens;14.0;
Norte;AC;1979;homicidios_de_jovens_mulheres;0.0;
Norte;AC;1979;homicidios_por_armas_de_fogo;13.0;
Norte;AC;1980;homicidios;;8.63
Norte;AC;1980;homicidios_de_jovens_homens;14.0;33.73
Norte;AC;1980;homicidios_de_jovens_mulheres;2.0;4.851
Norte;AC;1980;homicidios_mulheres;;1.37
Norte;AC;1980;homicidios_por_armas_de_fogo;12.0;3.98
Norte;AC;1981;homicidios;;9.02
Norte;AC;1981;homicidios_de_jovens_homens;13.0;30.44
Norte;AC;1981;homicidios_de_jovens_mulheres;1.0;2.344
Norte;AC;1981;homicidios_mulheres;;0.66
Norte;AC;1981;homicidios_por_armas_de_fogo;8.0;2.58
Norte;AC;1982;homicidios;;12.76
Norte;AC;1982;homicidios_de_jovens_homens;16.0;36.15
Norte;AC;1982;homicidios_de_jovens_mulheres;2.0;4.512
Norte;AC;1982;homicidios_mulheres;;3.2
Norte;AC;1982;homicidios_por_armas_de_fogo;18.0;5.6
Norte;AC;1983;homicidios;;9.93
Norte;AC;1983;homicidios_de_jovens_homens;16.0;34.9
Norte;AC;1983;homicidios_de_jovens_mulheres;3.0;6.523
Norte;AC;1983;homicidios_mulheres;;2.47
Norte;AC;1983;homicidios_por_armas_de_fogo;12.0;3.61
Norte;AC;1984;homicidios;;10.49
Norte;AC;1984;homicidios_de_jovens_homens;13.0;27.45
Norte;AC;1984;homicidios_de_jovens_mulheres;3.0;6.3
Norte;AC;1984;homicidios_mulheres;;2.38
Norte;AC;1984;homicidios_por_armas_de_fogo;13.0;3.79
Norte;AC;1985;homicidios;;14.4
Norte;AC;1985;homicidios_de_jovens_homens;27.0;55.21
Norte;AC;1985;homicidios_de_jovens_mulheres;2.0;4.06
Norte;AC;1985;homicidios_mulheres;;1.15
Norte;AC;1985;homicidios_por_armas_de_fogo;23.0;6.49
Norte;AC;1986;homicidios;;16.99
Norte;AC;1986;homicidios_de_jovens_homens;24.0;47.59
Norte;AC;1986;homicidios_de_jovens_mulheres;2.0;3.928
Norte;AC;1986;homicidios_mulheres;;3.35
